2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:ce6f9f8ed6917d03ef4f285c02697195110d618dd2983ed7bb06c89732046ec2,-1.3143703032648091,-2.4836850502117684
0:45ad78d329a55bc65751af696122894ca91f2e373fe6e40eeb7eb13405e7a93d,-0.0057735062462853648,-1.7900792102761898
0:fde1b9788ec32402bb3d95353d99a44c801f6fca9c6575bbf60d4308c8599aab,-0.020667787419526462,-1.9878288244618929
0:b7b587db37926a7f9e2b6164e2ab8a1f68dd96dbf833eef10ef8f4f80d558699,1,-1.7897595429745081
0:264de82a00f1591f136e4db861970f514406a8794c7cf7f80091900804be0d36,1,-1.4390955021607006
0:1988fdd3acae3b821ef712193477246c37f900c7395bb66326a851c981b2c4f0,1,-1.4994020277864131
0:506613a24d829311b1a799977a812daed451ba7a287bee15a29e4193dcce17c4,-0.176082688666753,-1.169099923685998
0:ca4627a7a051c70236675fff070073bac12fdd137bcc3c239d42532454b669e1,1,-1.5411238630867672
0:9bb99bbf63a13cee3ffe0b9a2a0982bc1eb62198570451a791897eaddfe4500b,-0.027491141914062212,-1.7653539727960137
0:6f3a2144484247ce515ab58fb7d97fb6652169544282ae0aa91b5aab2a5e7b33,-0.11182991519646635,-1.4671061923953843
0:38c4583029e32a06469a78e5efad4a5dd8c17bbe5f11d1112c17e01d08b5b196,-0.8432070597445005,-2.8231094559843548
0:28624ad6ce5f6630bed965a2aa309403cb1788b6558a63344c93ed6598b253f6,-0.49294460805896279,-0.49294460805893792
0:068ee1f80caa455bcd55037faf7f7a703e0847b5894a228a4e3db26c61247b54,-0.44773990630585198,-0.53316969701108974
0:243dd139adef373b4c69e29accb0f882848bcb83ec10e2dffbfb7e0f0265c0cc,-0.39719965659660872,-0.39719965659658918
0:0a53d38d9f7a966a0f460dbdbbf07b743f1e50b0fb54afde5e3a3bda492bc746,-0.62440103995293228,-1.0769134856141456
0:da8a59a8e80cfcb1fdb583c4ca8cc191186dfc906665519b7b9c0fd0ce27255c,-0.55175228253624198,-0.61530134001814751
0:41c07041a330bd67b35b1f6030bf06988f97cc113bf2e7588153183b9abc0a27,-0.51494351466080879,-0.66929157301477993
0:055f9f30487be7a4caa5f506438d1a96d5a75df0c428ec0cda029340f860464d,-0.60744787376494702,-1.2111851682199699
0:fd16f5330e9adff54f4b1549ede5b2aefe49d56b5212dd13ed9d82f12dfb4e8d,-0.4035128317351564,-0.40437744553796051
0:d0e4cbb83cac2290a8103f6068c6a5ac0026a446bf92c58c66e4f1ad1f64f083,-0.51867715215587751,-1.0395734691582916
0:806acd1f243a6e7dfc7540a5c66f2b8a5d71c8a754d0eaf7400cc4d0fbe6b4a2,1,1
0:0cf390e3ff4b4a55ef761aaaccb8a9de5ec7644d49f68511374eaebccf00d184,-0.20641612414647437,-0.55497147832639993
0:490d77df51ad5500dd05123a63ee60e1f904f5814baf955c07a46f14374144e6,1,-0.8271231062150104
0:bbe49649f661d5c55fb9330dd0d686740326b765b503e6aaeea0cb1d10d1402b,1,1
0:0698d2d1854ed1103158d29c2f75eb830291177cf0dbb3b4093b595d40b70812,-0.057425418393781236,-0.44545304309813183
0:60ffe74441ee95d3e9351b1447130612cddddb6b13f50fbc66b1b1aaf730c806,-0.55913774190655374,-1.6904363871688535
0:0c691b76b409cf9cba04f3c33c9c05c0a0d47b8a9e55eb94fdaeea8e56107aba,1,1
0:79e0b76b525f5c3393d4c658cc8a3f45ca2ac99dee9c10cc9b388f0b9738d131,-0.26098186591551809,-0.77777502240420837
0:aea97135837ac499484a1ce7910eb19a0449709dd3a7dedadd939c021205b55a,-0.20569976838285164,-3.1537968155608134
0:2eb02ac077a12330f7143a0f022961ad396a483c2417d77ee5ec170b2efc6519,-0.55402215570099145,-0.94757147576464895
0:efc2bc94a667a951eff34181ee040f9aa652a0225e5706cac949241854a5ee69,-1.9021304062928834,-12.393605095710274
0:d4106ddfbd0a1945826e156f459c117f11f7317ae25eeb63c854e3fef583c207,-1.1429250495244538,-8.0556785203791677
0:ff109f65bd086041689cb08f482b9af9fae3c41b6be8b9158a22f22634a5431b,-0.80005912082750197,-9.3971774038040436
0:4a326cf3a62ed9bd9612198d06db48a39e59b54e8c1b5da90bf9767bfc687726,-0.82053960956292105,-13.755425315715128
0:255041d729958777d915268ba503bd0fcba690a8ff96889715a9a3d6230187e4,-1.0008829319507946,-11.212068903481828
0:093073691097b6881dfdc67bcacfe497f7ed347ad1dd47e3383e84cab4e33bdd,-1.2974755909674336,-11.564390615701845
0:ca53a0df0a32fbc08a06537d030b0041c1c1e0a4a465a55838d45e8bf7281e58,-0.92967103597915823,-10.408082656066366
0:0b6f5061b9c27e5c3cc7ef68fd5f88fc59ffeee209c19e60870babb1a45a173c,-0.85784083208319828,-12.879677981740766
0:08fe1798ecdd4432cb11d5f8378eb327acc117c12d11e2ffca1d9276f0a0dc12,-1.0009889824810756,-11.187428561039599
0:c5a9495653afad1e89741985d047b8cbfeed78cee84e26916eb01dc986b24406,-1.4511814099224409,-16.052275346137495
0:d7249bd33e9e6f71034d9956093dc4e1177f2c0e2281eab400c86e4eab9e1f6b,-4.833810794426868,-12.442914709053987
0:0973713fabb6ca28530c26dd60a97b34462bd00506582e0b0d431ef15a135950,-7.0907396422199085,-7.1430058784087489
0:d94a9bc23a0ead60052c3ef26b83971d67fbb23f453c6e2fb3885c9c77a1e13f,-5.3304854582163834,-9.0150762469932388
0:b7e47e1852a79f8520cf7bdc8851bf56b76daaadf3ea0b3d22ca0f61629dd4a9,-0.88294224860517545,-3.2481096986808637
0:b42c3553704b0915326816fc969e5e8e55d268491e377205e4d3a6fe0ce7380b,-4.9143110962466352,-4.9143110962466778
0:abfcd285889d4d465e10b37d87415cc84bcdd53af61a2a09bb7e1d43ca37f112,-4.810067752510875,-4.9266455142990546
0:f9e46821685b0f0dddd3facdd967e96f8025ddb999e03feda694210478bc71c9,-5.8525011898689243,-5.8908584778853932
0:37a746fc9c1669e966d7fe74d120097fbdb625fcc123bd0d35b26a5d5ad2de9c,-5.7393149611546974,-5.7766863036961755
0:99e5c4fa739de72235fe830931c532ff99694337b74733666b0a8a797b649fae,-4.6942418150266496,-4.9098418555710408
0:1e1ac4a14b27f5c96403b7991db3898b0b5c21f28e29a7abb956ca57e25f794d,-6.9683259216764499,-7.9002128747712064
0:948ec7da18d925ae51a0da8ac8e1b1d7c91ee49f5692613597871042f7144ba3,-0.068631754316733407,-0.22673206448327932
0:ca8d14688ab1b41d67a08d3e0395ee6d8cc683f576c549395d6808c83de7b79a,-0.13582905845697901,-1.1752991123560559
0:732a6869e3c23a504a0ad26ce4e9c2680f0b4787a57de9ddfb157c77a414aac4,-0.14147416660945744,-0.63299880227430627
0:3f0c30155e50db76e3735266eb18d8fece7f2d892a327140c3b4728337495d9b,-0.085335164309284103,-0.28062752230825527
0:1b5ae1070580ccf6a4f6a6279f10f150661730645dac1013c108b8be58cee577,-0.098371934146719298,-0.37089251349645025
0:65750f1f64a418d92e4d9964ce7e4b23d2274c102ea42867f6573c65c8c2cc23,-0.062275358786544111,-0.46911402352760323
0:4628f986b96918e8823c3ea5be792ad89b6d46e5880252193d7697a46fc39034,-0.080326598588833065,-0.31570231797755355
0:97c5a199c399511c9ff3d40f4a46d41ce6b02e0a766bd006115d6ae0045ac105,-0.016710838245067802,-0.028087234396982907
0:1360380396a3d8ddb91254e743c52d487e55d602d42639a2800c5f5bb8af5817,-0.088218972715651503,-0.34719243065688676
0:3ae157301c6dfddba54d2e7cd6f371920b1b6b03fe207adbebc6c0fe691054ff,-0.028449067430767801,-0.05049347298811302
0:de0e2584685ef5b891e3ea9aa355cda5c8294cd9efd56714809451fd89f7a895,1,1
0:eba7daae6d5805727f3f7bda467c42c7b9be328fe46fef3e936f776b56424dd5,1,1
0:b85b7a8ea39ae5e27c2a9a8246f90a71bd0700235937214ebcfe3e14f3d84802,1,1
0:69ca0aa6fc2f1aeaa07729fb1eae468476fcf01796be1c87e6fbd590816ff048,1,-0.21247061890091423
0:499279bfb85c4bba024f723e5aeaaa77d7381e34b5e3c6d78bfad2260f27ce29,1,1
0:feeb3d3fb441e860f6139f5185ede5e63e3b05c9d65e53d9b65d361980909282,-0.13396472466839304,-0.49515983178478828
