2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:f3fd3d706d3481acce804c71330c4296749fdee2319e8be355a7e76215b33815,-0.66308702913571338,-0.78960655912346134
0:26644f0d1f61b29dc81686f9f9abf78d33d391e68b22b5c71cc6c5227c693ae2,-0.65770085847575466,-0.76943842344619462
0:c70736baaa795543d7afc4ad9f2b6c69b7f1090466776267aef83cfee76955e5,-0.70339132540448723,-0.76812136824938548
0:499e8c8a0e10b708004a1e4f013042929bfa0efbcbc56fe46b9100a988492e90,-0.66053568513908445,-0.69770546454817683
0:a5338de333d6fdc387daf2e834820a330f0e4f4027336941fc5795e0733b8fe1,-0.65105126506897548,-0.93995122598906633
0:17ba537e5816ba3f87062f881efd39e12aac32df5498b771a2af3a4a99744dbb,-0.65455105107270128,-0.80288590655857206
0:5f1c7e9672d33947cf40a12a80cdf1b4f5728dc5c4566d3b5b30af174343791c,-0.64716261395384933,-1.2981222255154758
0:44749a6436386a8ccc467d31d110072bd06ed3e3049a2cc6f0ac5721af9cc7ef,-0.68604912510589955,-0.71376315487602326
0:639f7533c71f2f9d1a335bad76683797bb77909b6fee308024d218674e1ee8b2,-0.66538323873263749,-0.66538323873263394
0:519dbe977e0152775bf5bd1065664acce7a9abfdddf3ebe0e4079ad3c0a19f08,-0.70106759629073956,-0.78639120357661163
0:927fab76d6ee9df8b7e198916c7ee562057a79c38a6f9d6b99a0aa3fff5e46ff,-11.790802713296262,-12.369541621386515
0:76e242ddd15016560e84085261ac832105bdcbe6c4cb51276c34cdc3cc719334,-10.417932350711911,-10.798772593040779
0:7575cd44e4369eea0f2e2430f2b1c2fa9c8db016d7b8acdffa8bce65d10f9b07,-11.294590525193843,-11.309060609712464
0:7697266b7801dca608dfa39c2bc651c29b3020a1000557cf01fe91f2bcec0baa,-11.539378054784397,-13.556308057626385
0:5f19a03e9e84ef4440e96c7068b59a0d8ea124f97c81de11bcb6d6da9cf647d6,-12.128826600269749,-12.251828736517943
0:33894b6edec29fb2b66092f134e4c469969c3fc6da042498a0c5fff4c0f1dbce,-7.7818830027649462,-8.824186130492965
0:fa4663b73a9e9fb17ca2c05702f4291d88f00231867b642c4ca5142468ab919b,-10.806074283205547,-10.960229871808647
0:4bc186e5747dc90b1cfbf813d0c9e7b271c3977d7040cf56b6c3ca91b202e7fc,-11.425358493620834,-11.425358493620822
0:d57114e70839b61c31743ca600c753683c2dd3f5f516bcbd56c071482ed20a99,-10.913535368877739,-11.098027091546616
0:a6c3e58af1c61fa6f833047ebd36b590287536321a1c842e5b923ccf58262edd,-10.433454618020907,-10.592282072750569
0:a3b33f5ad70c5231800c5b43199546b1c2a219f9e07891069162c105f6753643,-3.9572218173948173,-4.009186776760493
