2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:7fc1b0b78fcef39032c8078d5178761d5eb480d9ff26514341ae77a3372c5163,1,-1.1858004834009588
0:e146d26247bc8cd258f0b5497c940920bffbd840777ae18a7685d3028dabbb58,-15.346645928546854,-83.589545844758874
0:7c6ca9d8bb08b52c083b224390891c2f71cebf7593d2cfa8d8dafc91694bd432,-18.211133846859251,-83.044214954706788
0:db41ff416a7535552939d6bc1a58f16be21bc731b4d7900e063d044e32767006,1,1
0:64485fb6b12e3e7447474928229fa873c68e3fe19c7c97ce868646ff062c77f8,-19.3312652176729,-78.612702059179853
0:8d56b926c87216db7815e3c260f1d7aa7efa3d24613768b10344f8782df7baca,1,-5.0227072545538931e-06
0:5ac435dad52966ffa40eddb08e0cc1bd1682b618e35a1f30f06e14f0e6134fc7,-15.614453627054852,-74.125877993934722
0:17ee545cb3d610454d19b314ea6b699ed46943375c551bb1017b487f2ba100e9,1,-1.756014110609085
0:c93fbde01e446d037e094b25f183de1b08bac67dfd1f3a8dd8592e4c19e0e950,-16.398329257225651,-67.493360715656763
0:e3e5109eb684a853169b2494c17c895d70a252bccc372c4259d60e2b834814d1,1,-2.4328329626399636e-06
0:1f8e232a4ae18a7da8e44d07d4333d707884a110e6ce6c7f092b8c65b0751f46,-2.5497590920946838,-2.7102469617090392
0:7104e82ca1c99236e591cdbef1644fdb230f43d4b74e565faa1a176b2d810b68,-1.9828949031098162,-2.2731443046385493
0:defb654c4faadb536e946d011b4d66f469f1f9ebcbf386ab213f629ae2347a80,-1.9407486870441346,-4.4256879443026769
0:d078db6620454689b78ef7438a2d4d6246e8c745d9319510af7f8a88051eabfa,-3.7670299645676941,-4.6719837409958629
0:7750415221e57332f71d0d0f67bf5db31e02deaa765c9c6e8f104eba38a30920,1,1
0:e75fe88870874c8372cdde3858aa553c07a428eb4df302b5925093636652eda0,-1.2689810428000818,-1.2689810428000925
0:c9c3cf28eee42ef8f36dc6551251d9cfe215a63a073f369cf5c75822ddfd8d7d,-3.65461742702227,-3.6546174270222735
0:dbcc422172230b59795e77c0ce2f1b8852f3b316afcfc9e1b4f2ec506c94bfcf,-1.3238976657366734,-1.3238976657366237
0:afebca13a9774551af894963e744249af5d8c6b850803b2e1c63937c3c26fd0e,-0.07679508133113444,-0.17895638641700629
0:803220476a0a738d9c9251a31b2ce943c86f4787f1cc67d4683cf45e934cf7ee,-0.48426663754589683,-1.4957171841190267
0:52ac0b9c782093c47209d3d1bfaf690ba85eb0ae5650ceba9213b2d4bd4178fe,1,1
0:14debe3f08b404bc7a085e7b0422c2755a399dc80f72bb8ebab70529bd282e78,1,-3.5259731685197919
0:a051be516637b4fef7123c662f6dd3a0b29d3589c69962bc39a4dffa4f7d366d,-2.7660710765904102,-3.3445590572619053
0:f3d31c4ebde88548145bfdf7b1bfb273ec2cf62fe22c146885e366ccf96def15,1,-6.2311652674428926
0:1fc50f818a85662675070573e6e234f465442d60df37f0931955462eb5c78e30,-2.7400624951024515,-2.7400624951024586
0:9122c52a20daf1097d9a6ed5e880652620ca81d6eee05b80722f3302277c4bc8,1,1
0:a773ac9f8ab10727e62b4c88c891c59976a2d31c1ef1c60b548b3451caef1e48,-1.4180555186437931,-1.4863565557477765
0:021b0226c5b3842e73e8eca23264b3198ead375bc37491b432eb817b9715e31c,-1.8473418194989608,-1.8495354377437372
0:c658827e71bb34966ead0ebb7d7a53a2cbd639a3e8fce20ba79a1ef358cf5633,-2.529974921606617,-2.6825356931082696
0:a022cf936e3e97fdfb46926daaef090058725aeff129cc7cb870a16dc8ce394a,-1.816563121901126,-1.8165631219010594
0:b52c3a2d80cd20accba56c9af11f8496cf490e44c27097d8c069a38029dc5dc5,1,1
0:14de31931e7f7f872a4115fc8ae69b8ce032edd42b009dabe6acb86d97bc93ad,1,1
0:f00edd40199be24ce08a96a2edd3c8506bf6eb16c576d3c6f42c598b7204e7d3,-1.1616344064556152,-9.8786912195668428
0:80a9bc6b497fcd1024b097e1c887584cf3ec52f16d3748eb4ae41c17bdcb744c,-0.45170504481779439,-0.81923784910784647
0:70fde2dd5381f0b7fae83eac3a61d93de6951f704fd57ffd990309cb08daab7f,1,1
0:3647258559b3666729af8f65c7700b9bb26677a1de1e95c7eae0f21eb9ee4399,-1.1469058874557927,-6.3120916646557745
0:48b1eb8f237182a27c55d738df4d1fc1d23fb529c10660a9658fc02108495852,-0.26328151799670252,-0.8547132351002027
0:e2728a641c44e0ef9ecffc8c9d67648207cf72bb21dd3949ba9bc02a20f6468c,1,1
0:28f403492bf5f9530cf159ad080eb65edbe6103226bea1421fd4e1ecc316c0bc,-0.72097726869604628,-4.255702166979658
0:4bfc2e59fe0eb761de850d869ee23f144ed2826a595dbe49450ee1b371ac270e,-0.17880809662448094,-0.68267661822921433
0:7f1ca4570c65e5fefcbebe396fae86c54445ea2712ea6fb20a4883b566b007d7,-13.78832977271243,-28.429405065720001
0:0bb79ae7c16aac75984daf154400842df4e12ca42f390df66e5bd4cf5cb449fa,-12.122492468477844,-27.776306134033192
0:c4348d4e9b57c1268521f38e5de7d047ad7503100bd87816f5e417cf04b03a66,-14.35770493787235,-37.207164564130217
0:bba5000cff1a0b9e6f2f595684192ea4d87b221979102e612f867f262c3a4126,-11.77000449990939,-25.000289347809733
0:b87c30297586441f364639cd115e0a470dbdb8c6a636050eaa8a732f2c470dd2,-11.586390596340145,-24.042861840746003
0:a5d1c97557e121e491366fccb42b306a02f0f9088877e0cff38e5859040b7f9e,-12.85209379527538,-25.298717124166778
0:1db0ec4677f5882f0e4a25a83736a4b13567df828b401c93c3541327435fa223,-12.738055093204828,-25.838144003572399
0:8ac0ba9db402ab73f7e52c0d965e8371849f47a29cd3d3542453f3ea01f0d678,-12.801724166694939,-27.217880166777153
0:a1feca4d85b569d73299ad4cdab9d3802410220b4ea7b97e203467759dddee8f,-16.002658324909831,-47.586171900933167
0:973703853a481302059ed780aecc9318ba4287e6c750a19804102d9faa1f0137,-13.006435112328065,-30.352321094817754
0:be5600a06f3a7efbd4b62ffee2bcaff4778ee146c1c2062486a617cc31524802,1,-0.049416480198642532
0:1fcbd9de44f11c4704ace40f415bf2c73686433cc042c40ea4acda8742b4d3f3,-0.094210248875985059,-0.77707814441321688
0:aa3c4914b1a7420613e937edfd69f7f69428257203646e81154de957af5bd8f8,1,1
0:8a73f6777678c67811bf584962dfe8ea7bab2e84f8b1b21fcfc609521602a8bb,1,1
0:9098136b796117ca7a3662def603fdd1679e2f8b78860017eb1a9d30768cac69,1,1
0:9a27f4911ad785ebfd5495c969f9f9cddd4b50284d1bc2762faae01b53ae45c8,1,1
0:7e6b2220fd65da34caa39b71afa8d6f8c053173968854f5aa87d1435e05a7e2a,1,-0.25895549441322263
0:92ebc4b4409029ad08e60cfd94530c101d3ab9d28f7dbf5229890828372cafa4,1,1
0:069445954cdf3bccd3a60f8e4f48993768b9370ad9780ed3a13ca1673da33b3f,1,1
0:225d806d83c467bda9302b25c3de913dcb205c3147b21db2aee956619bdb80a8,1,1
0:072171fc34cb7cfcc54aa1c62b43900220d1cefa2a95b360ffc8fac94c971b59,-9.1190300960510999,-49.107209202203862
0:af190cbdf5b5e74515cccbd2b8d5beba60bc8fc8dff4742c9e46e0815f9dc4ff,-4.326965811254432,-49.532565813011729
0:ad0638c288612514d22b36bc50025d0b4a2dd103e0652a494f73b38e1f5cab88,-12.562670590899781,-41.318037309951379
0:a5cdce8701d2d07504c4d27dbfb934f91ed7fb44bb14fc1fafbe65b3384618c6,-10.162507405481222,-48.034069174795214
0:5dbb719cf00861f0de13f2d421eecda2c665a93bf9d4724cbb22445766b1df47,-4.8068790511542723,-41.178531396639784
0:74ce614798340958fad7c86f40504bd660d6e5f81168bca0727c2910c931eaa6,-9.085000881544115,-51.652985049809864
0:2968f1bf862e4283d4dfec77ad14c047a6e8780dd007827a305877ab59953b56,-3.5137886191272116,-31.427975113089932
0:670ba1946176657d1306509c3271348790d0d49a9b9cc34e41d018467c0b591a,-8.5558798982436404,-40.443719193055941
0:92a079818ad1caa89428ce1c655e63e13d2f32893f543ea2ce56cc06e8e3c5d0,-4.2857559704465835,-36.476337819281291
0:d92b9753a2a96368a7cd54d87f5721a54765a0a41c83f1f6cbe968772d0fbe0a,-7.2580174062079896,-42.959904769692514
0:ed84b96b010f091a5bb2fe37004b067d647832b27e1afcb1a1a10413a245f53f,-0.47347398229906901,-1.2975672963630842
0:f1afadb1f88d926b81626184479d44fb055942d429cd764861a7f47c56e309b9,-0.57302688279509095,-0.80111716679480338
0:770bfec5e6dd84419466700d6ffd2b19625f9fc5d9055351e9d886294a4a1df5,1,-0.37687703134328387
0:9fcada22d78e3fa02e85df544f86340f0d6f44a9686b97b802e7d76d4c9dddcf,-0.53317388952503098,-0.61916416292865506
0:ab3548414e4df015a427b839a55d1d4ef78502dab1c95e808ab9b9b0c20ea855,-0.62621363640583638,-0.77355500339754713
0:27e91d1b6360440fa57861f8b14f63b0ae4b243dc241bacd60743bedcb0fa69a,-4.63159101332446,-4.6315910133244387
0:fc58145b924a9512eade9040037cb7bf0ccbbf2fb17ee13987fd7c3c9a273699,-0.82451088355318103,-1.2532935417621118
0:2c25970dc3ce4a59ab16acc974c4b00d850caab594d41e373117b5f798c4ea50,-1.7683521974876584,-2.2232101091896936
0:afa6480f3c6f89d1d3d7df0a7c8b276e25f3f9361a6216203f8f8dbb12eb880b,-0.66095464962243966,-1.3839115776071651
0:c6d550e6b436fd9efaa32694865f78e3637b905d98a33b5601d57e74476c0213,-0.97322539617304926,-1.4142614196967074
0:e19a82b45c5587a4f853abf378bb93abf9ebf9b02882103c368c218dc897bfac,-0.0095525846971433737,-0.0095573361529872614
0:b5c8e4e3f99edf6e090aecde1bd8430c905f34230b9023c7fed8cf147042777e,-0.0047329838342022867,-0.022317026535038309
0:d77414da0b06480110fbec6f5aa0c197db7f03d49f59fa74eaf08fa904d13e18,-0.0013957503160177964,-0.37991650827563106
0:cebb4514d5f5ca3f2cc845c09f14948c4abc80bb87700bd0829720c27bec66ac,-0.0018769089369712333,-0.017749653920930086
0:483e94624180b6fc233ae904197c3c8019fa71f5cc8135a65f6fe68251e101c2,-0.0075233091766122584,-0.24798252697621592
0:88885b200e157eef84831bced69e70a30da1989d5a401a7da248050cbd9a5b20,-0.012244308127222325,-0.012470457852575834
0:69cf72f52a2e27f0bcc2ea1c0cbdd582243bd51c176dccf79d0689bfee9b7347,-0.0038200755068409364,-0.0038228851743014047
0:04241cc7729fedf6aa52fd9c14c6b50acd51410858cfe347bcaceb5d62d9bc73,-0.0041974726274833785,-0.036769895989774426
0:fbc354c1d1988b303b53a0ef7421ee3e1cee5f566f0c3850963b757d8c7509cf,-0.0022442580356312192,-0.031864177051208031
0:6165b40984128db369106ad5d12192df59ea0e62f0e377c3ce6393874c957e7f,-0.00117998439867506,-0.060118766441330962
0:7ec53910deb6903173e5d3b3a84af576ed4270f5a83428602175ca50432822e7,-2.0722178772444,-2.0722178772443325
0:91c4a639d293089f4a771caffaeebf73f860e2603880e64a76cc4192b3e3ccab,-8.0619655328549396,-8.0619655328549591
0:15a635b0990da6589789a1af5a82528673c2f58816c8f3bc66dfec98458d45b5,-2.4647935127471801,-2.464793512747061
0:aa1babf44183447032a30b324a3ad361f78072208756ae5f364601502966558c,-5.0509955958448636,-5.0509955958449737
0:cd65914a3db97dadb794c4f62c59416f0107c4cb4ebb854ee581750baa653a21,-2.9582456621005799,-2.9582456621005857
0:b47274cab87a9f93f48aa81bc45a595734c929bd346108d6e4f1cafd0f95f4e4,-4.0224825756018197,-4.1518503768495805
0:b087ef4158dc20fde17a1cc6aee7032144ebc35b34214f31a0abc8dd2eab74ee,-4.1118741906154366,-4.1118741906155059
0:9f8ce98b7af716dd08253bcbc753c4540ced39d1bee9b416c0efdff86a97c8d9,-5.5216800731050304,-5.5216800731049691
0:3458bbcfc0e3a4e10880d44120d47286a5ef21c17912e7b754cc1e1b5538b4c9,-3.1503081596372535,-3.1503081596372997
0:9f29328662a6fb3122e32a6ec0dfa118e41a9fe8be39abd615239f67d2b7132d,-2.1418318328637662,-2.1418318328643497
0:812da875903e1a741d5914e548d7b872d5afe736e998c343b0300bbb200f1a22,-1.9234232255022901,-14.427426352720586
0:6e2fbf138465b94e59b6696928629c3f8c68f6dcead4505bf17a148449ef0089,-2.0438561636845813,-14.015002660034195
0:92edab120974be4f791151bcaedbf8fe3d9e00b05a2049a9ea6c3c8db273c817,-1.5792264216017653,-14.52687810860925
0:c6505f635ed017876bf5a9fd3abff1b995b3eca594c27f4e02cdd326cf99c080,1,-12.863813986124173
0:154d20c8afb3a5b44f2ff01bcf22da5b4088179a0363639d0b283339a91f798e,1,-6.814787419004297
0:9f68d7d046af0220f1d7e162b7c0472712409856126eb015ec4f1cb02852a52f,1,-14.473763682285202
0:cdc0557a39e3a00c2a5acc5b11e4647cbd3d7ad713c5baf3dd9d2c87ea902524,-1.4463063549955635,-14.902573771922103
0:e5189e6ee2e4eba1920e89a9c943da2fd65902764769140c7c10eaaad06de15d,-1.7207779919923554,-14.130716110237643
0:ca5ec7faff4f1c94777258c2be12f5e62ea4b5642da8fe3ab6d181936b00fe1f,-1.515041529501961,-13.778091754032706
0:ab3940522a279c47ce8781b800c5d15f1375be6826ae129d6e230539ba76648a,-1.4960997777761,-14.02459439237769
0:43ceb1d4185d0ee6e3612cd37a65c59e70b956464dff6ff4bda8ccfa2677e6d4,-13.734843993714534,-14.362571163852248
0:11c7d33084a6e41833ff9ef2f64b5abaf598cbaaa0ca4428d72252f6afe6f4e7,-17.340798430781291,-22.051707315090511
0:04e562152b17f8587b1062a742bcab88f055bf5d10d1d9f7e5cc1638020c8865,-14.617607348856605,-22.01562954804745
0:9d3b2194695889134190ae66db8f248cd60a9a0622c3301715777a15309530b1,-10.725148581233924,-10.72514858123388
0:58db85e1444131f9734f0de05ff0b37ca8920d1d976fa07293e066e90bb414c9,-14.533520530099505,-15.892401157191124
0:3d8ff27713ab17998991044eadd6da4ec19488aee58dfd450e7751364214fcf2,-11.391057945435918,-11.3910579454359
0:4856d8cff5103ca9e997bbd8492c7585fd31026a2984b850d2c1c4d80c27b21b,-17.046257632565368,-19.62665522281749
0:61336a1e11f01596678a1e71a5186cc164f61d8b98a64b3acbf398f9a96119bf,-19.911280274014736,-32.097014215215054
0:a6b9d19e49f527923d3b3624a25ce27232e40077269bc8a317147f71f5e2ab37,-16.970564164188964,-20.722849833528446
0:038a3f7aa0a517ad0707ec32d13c1af7d6f1f29deef68f6c6c51c66abd7142de,-16.812606980219172,-17.309820207984142
0:df3fba6e0eac62ee8de20c6c7007d9dcf9deacde82cafbcb875cc4779776c3d9,-13.506804893892131,-27.132575660587868
0:3fcb7c47bbb44cca45e48e4b6d2ed0ba5827d4298187ea1bc06cf3c3a623037a,-18.319090758549464,-50.669617554028378
0:80b0757eca11f01d910315b648eeb153c3d68dccdc2cedeae1095b23e25191a4,-13.588110336581877,-23.751659082742279
0:dda895d395b13c6b11e30424946da1053b6e56b97a19593133a97c24fb15a707,-14.413775822219041,-29.371988602696948
0:59e893ea60573abe9bb2bbc58d93c27659b970afe427175e2dc78cae1c01bd8b,-11.203139072633647,-26.779677463993316
0:9186390b64668e5a27912b9a4064a844a986361bcfaa59deda3f807060d910ce,-19.506919748323014,-55.980951431841675
0:7e1f304be1bd6c8152a4c6fa9b38c191a5dfa7ddc04198e2f6d7bc177cd87987,-14.056441954083219,-26.628399175556055
0:70ebbc966d5199d3b15fbc3874f68e68dd7cd77e77bbc0a95b1127c98491094e,-18.537313230970042,-49.239501181667805
0:d96e1caa521219e3fa9a9be2a60d65ca353e1c5a31e5c56b73128a251161d57d,-18.624209808478302,-32.568572500042258
0:1c59290b5fb79c7425dd19f42802d31362c0d4f2e8a08b8bdd72178bc59cd25e,-14.903013145553516,-26.749535176547834
0:cf546d67a99e7baaab9c40008044d666363b3e8adea2dadfc1243ccaf23cd269,-3.9696089923446607,-4.0427872406286056
0:d96ab3e667056951f5e6d772b905cdf1e7f36e109177928a7cf8311a876447da,-1.9287840585302511,-9.0836218373163806
0:1b032ef1442e9737228ed8e3fcf66e24399efb06e3652627a20051398813a0f4,-0.07866936762750143,-0.51423405396663924
0:e1c7f65f756a54f6706dbe1bc46b4122fe95e3ee47b0b8e1234cc6b874c9cfda,-0.80300849057589474,-8.6352216914645279
0:3f2d2187adb8c6dfdaf0cc7075ae13f57aa72c3de8bcb6f827f500904e86deb1,1,1
0:f678e803654da6bf566b30d000223f7912e1b5cf7405efb316dd2e7ef598b0be,-0.11480251119089147,-0.13181857870117142
0:705e9d1c9d8bbecae0398200e9b5a866bd20b41b6fdd3fc668ff44f482802b4e,1,1
0:97ea205ff007ca53b819e8f01d5b91f32b2834179f9e93a6b17e414ca498104b,-2.9732335636402158,-2.973233563640246
0:16bf165372e34188be50d09c93d45910c0423c0718382c24c5d9b03c3c4612c1,1,-6.8780217304984861
0:637d2ada6f183aaecfe358830b016e5657d7016b9b8a68a0c50f69c357eef23d,-1.1017403137303035,-1.3866244519928852
0:1353ff94fe9b6074e5e26b7c878fc11fb05f2de8a4ab982f7726ef5ddb58a0d5,1,-3.0191351534369915e-06
0:d75f4fb4c36b4b495b3ba747c865919865b36db200195de9bab6bccfb2e264a0,1,-2.9363629039380612e-06
0:0aa8584fe64cfb93e9dfc0ab5b5bc52d8c9b10287af58896c76dff0e7c338936,1,-2.4860296150563954e-06
0:1dcb65f0ede49f6ef59ec25779904576fcfed91721e62f84421a4d3bd0868e10,1,-0.059851534012732799
0:adf0ba5c597a397d253bb6ec53fa0feb52207e4264373809792ad7ada5357a07,1,-0.37918596624977141
0:32d48a58a6a7ca75e83f1eb48f639da256258c832bcef3a1b5fab3f6565188c3,1,-0.053887281859005043
0:b421da7f56cf2b80c1e4051e8b5807939d161c2c3630aadf168bb47ca2ef52f5,1,-4.5033323488041788e-06
0:06d3cbd5b78c61daf6739309d3ebb4bea1b527a865737a924a0fac7c980adaa4,1,-0.34787611258365914
0:9a9ab143f625a06c8cb60589a9c63ad651e7c88faa23117294043088911d903a,1,-0.024050474056320326
0:d0fffdf0c8c2eb1c434e84225c62c82a044d3bfcbe89a3a8fcb4bbd7b09c31b4,1,-0.86646565910711715
0:bb994a893ca8a4502b428bad7205eb4f3d1a0c15a84b100fe4bdbf86cc65f8ce,-3.9019170970241568,-5.3588618058762023
0:25cfa33131478549c444eb8c2e307c7633aa7cf56751d039a4261bf5125b7f62,-3.5184837263629731,-3.5184837263629021
0:36d692238875eef33200175a2e79877e9d106423ce379dc3d45f3b8be8d85d59,-2.6084040180153187,-2.6084040180154489
0:530f154b79bef0e403a55628200befa13c8adcf04b6b96bcd5c9cde802451570,-4.2439170974554941,-4.5432626168242223
0:fd4c52d2192a7beac05638664163b1a6c5d00a36aa142bbc943bd329b7b53d7b,-3.2997930221269485,-3.3510474840135487
0:80a00101763add156e2e61cf5b2a7e42b0c633581f29961c8ea44c5b2435d8e5,-4.8947564992109696,-9.1697536368563846
0:b1e4d1259835d5869cab6d3c25c5f8354c0b65f603e263eea94d42eb8868beb9,-2.9125904530416875,-3.9654360780710363
0:1dbf83fc0ae37f63314fd7a998c9f063af78690f57a75dd2ed458d346d502203,-3.9952752327084227,-3.9952752327084937
0:b4796d6f6865b3758daad71bc323afe5b9144619a9e8834be40d79dd87dddd82,-4.4051689257381668,-4.4051689257381099
0:5ab76ac3c6c5c04e401b3f147f9c6e435f6d9c4fce159978435537c147608306,-4.2117703705516698,-4.2117703705517187
0:45594e176dac579e5eac61c2ccaeccef6cc9c68805d92aa3ed3460254b5e7449,1,-0.5179760239222464
0:b2a56fc37129e072cc315fd0e58ccad62610a8f5a354256079f5e3c21a36e49e,1,-0.0035082902785701364
0:754d27ee2d07eaec5e573313bbbd0aeae272694d97af5c0c282fab7bc865dcd2,1,-0.0033367864925830659
0:f07d42bb8c1b7bb279fff3d8215bc84b28edd9b6c529f52fe1420c87efa152c5,1,-1.133596651087224
0:13efbdea9cef2dec9049c5d336f812a5f3e03a5b91dff601709c277c210e93a9,1,-0.17192534825576367
0:efc2dd43dc4d10ab4e3c7c7e7b7a2f6aa43cac3502018d7a82deea9ce61fea47,1,-1.1327602908189522
