2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:896bd6a31154088fe01a062720847cda2127cfb7b617a056bdef4dd7a02400ab,-0.028075732488686,-0.028075732488688665
0:3bf8e9b06ce309e41403f3f0ca30b14e9f96c05723f3b584f80e3ede1a88afed,-0.014037866244388297,-0.022604564106250891
0:630fbe37a34d788fa34b3e1f69d250553feb8769f3a3b3c0a84d97789c7dfd4a,-0.10416816643881077,-0.11259088618542012
0:a08947e1260d3732dcc817ae93468ba9a6a7b0410ed0f32de16be1af7dea06db,-0.014037866244310138,-0.014037866244324348
0:c9c1855af01965335be570041647e82d96e7ff20a2ae21987791ce212655505a,-0.028075732488797023,-0.1292923475625658
0:cb9134dd35b0962164524a433de9d6aef2d36b866d84329a42946027ab9f66aa,-0.028075732489037719,-0.045065150097904905
0:932b76dcea3dc5cee4e4856892cff2c9ac16879b34038e68e4818cc60ceaf687,-0.10416816643885785,-0.10697573968743779
0:f346cbd17691414eeaa5000f0cdaf7a5491c11b94541fca1ffad967f6afaa69d,1,-0.0052695581678907644
0:079e5fbb99f43a0db01a0667071dd1c26f09227b71355a1442c67153a145c7de,1,1
0:f4bbe5f9a03f3e17ad159f9069e88a1cea662220816061afa35940620ef3e4a4,-0.0140378662443732,-0.022604564106520009
0:c1b85f21800d4bc52683fa575a69eeba501f75b8ac0710657cb21f0ffbdff6d0,-0.4173947177428694,-1.3596797728975938
0:c0537cc692c90b0b235d2806feb2166469379379159b45d966e35b223893a8a9,-0.00075651570355361741,-0.0007565157036322212
0:06d913a35ccde73b70bc0be70770e3cfa8425946d4c9061ef353485774b0198f,1,-0.017382413108171235
0:cc93f6ab0e346a2c0ca650d65bf109c9bf17001ae33a15bc6919b13c2fe794af,-0.72615039242026036,-2.3089309892146828
0:652db99fd1920a73b6a5dc82e377d8f4dbe069ea60c81c9e2d2c5555d23f5ebf,-0.49879781665270073,-1.2153041508956832
0:5ac774f780f33aae0674929b5c28b0d05c45be831a1e51d317d1b20beab4fb51,-0.49402824324089423,-1.2321231082658262
0:e50bb558f8da20faeaeb6228255ae34f07121d61f5789db2d0c70c86542d2c63,-0.0052785482245738535,-0.0052785482245636395
0:9b61b5774b65148692234c4219b272c5068370cdc84b6ee54d64c0354be152fa,-0.49916513947833252,-1.1440541910899613
0:a2c747457f72b6db69f64b0c383e4a86c755efd0e51072dfd2110e0f2bd061e1,1,1
0:6f27a61a0c06a0d0c1160ed9f05966780e2d89ce8335ec9167fa54d96d848139,-0.39286524072485562,-2.2728440782979993
0:a21c35853fd050a5c3cdd7b356dae22bb93d29a5a790ae596102d4eb732f0439,-0.1050850646313215,-0.15560014186689131
0:53cb57ec9a219c0d4d8aba829b6924738ba3eeda022e38923c90aec9c13e2668,-0.048125427616729333,-0.073648955287737294
0:c0e59fd306e63c6dfbe77be9ba2cfc2f4ad2c1ad67d66d5f1cda4461afe99ed0,-0.048109880794186211,-0.048115085365846078
0:dc8dd0e1acb1344b4898035dbc8548175820d59d193c89353d112fe20c29b215,-0.048113304148349911,-0.055784392045024944
0:2b36cbe263d13f400e6c48a9d91297f60b5c0dd1bcb9ce98341652674aec2c90,-0.013584986066772053,-0.048109829489050959
0:d49912cb38dc26b0813d8adec75b9ecf81a69f9c9a314f473c9e8d247b26c635,-0.10401717176525871,-0.10401717176565395
0:c7f6e13d6468914926922da727fb6cd6435b637e9a7cb92d2f1bf78b2a86969d,-0.0024775501090115171,-0.0429747010473438
0:2aac72909d6c5ec1f896b5e018c557c492282a22066a347d31aa709b7564b056,-0.13556412721900823,-0.43979619200887488
0:5ef4ee862af339de0b1c3daecfb9efd78d4e454fb605480512f548885bc109c1,-0.10422212015902588,-0.1363606224785574
0:4fd5393b4052415456551032a7f05df3ba4ead4210f0f34694b4a84ee943f358,-0.12067578439267379,-0.22610960321808182
0:fac223e00e8ed2d371d7151b01bdb82a9c9b30c2ec7ce873d765f536fab9a7f1,-0.0034468860537035799,-0.0034468860537009149
0:f857743609e0cbbaa41ff1e46e67cc38c2e9dbafc2f9176e2be403994ad3e772,-0.0013175085528018826,-0.0030958572665360506
0:0a02087f314f96278e2be3f8038bf8ae8d8ef10575c89d26b58ac78429d2972e,-6.7761423622414441e-05,-0.0005661569663955035
0:112a253baf3c14c986a0ad187e71a29144b6b4952f2c173a4cbad388037a6095,-0.016702111347132842,-0.016702111347161264
0:5949c0a2e6019673c8bd64fe4b2a9fb3d6e37afaefd9ee3429b044895fccdc5f,1,1
0:75abe34f24cd796b5b2aae31fedd393cd2c06fd508980900f571ad8a2058ec90,-0.0061472330622027727,-0.0061472330621619165
0:4a3fe2708489cfa846cf5e4e0fc6b2577408e2ce2566e9b2f1443d130bcdabbe,-0.00037184246331278814,-0.0031068001570870862
0:53c4c3dfef0b26bb8bf7f67b154574f9b3cca013878d3132be370e34160b533e,-0.0043901410739222158,-0.0043901410738298452
0:062472a8358f7c33346f49b804d4707b602dd5de13f45b754afa1f57fec22f45,-0.0051957293769913102,-0.005195729376994862
