2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:42c5a5874fca994cd200fb267cf2266f8a1e3a82b8d23d4cb9fc95ddf2bcfac6,-0.0040159886037427484,-0.081458067923668054
0:1f729f4ebc68659c11f6604b1b4e92cb8d057e5923fc0d69e44ac25ddd4d9d2a,-0.0067639399027319413,-0.0067639399027106251
0:96886cd277f6da8c3fce3081f1dcf1aaee9158cf2c053d47346505b1cf6546f8,-0.0013749941837764013,-0.00137499418387943
0:ad22d3eeef10f0c52aaf87e9b124d7568f4be30219bdf5765a52dc1c32cd1788,-0.024572342313868845,-0.027855229456283048
0:3ec9d08db1e3653d2fa5d21e4c46b5a7cc5f81dd16e42dc2860dee8f403b1727,-0.000776222437450791,-0.014572049275818344
0:b7531f274fe4772542337ca8434b7c0c9dd829bd089a977af80b88c77579691f,-0.00014201356278764621,-0.00014201356256471342
0:81f8f36691a5dc9ea1867a36cbf4b1de1e6be8b7cec384fa19354b06d53443af,1,-0.062947420164237933
0:54d1caadd199bdb700d160ea709a597c83b7957a6514d323b4aa355d623c0532,1,1
0:390c15276c2d4d7eeb30038f3821b40ebecd0a67670e4d7b58f8d74ccec6f12d,-0.026618916811900206,-0.058333793878444951
0:98ab210fe453e787544a5ec7f7480a24fe992a032945beb2a54d94812fd24edc,-0.023802398501407751,-0.023802398501216793
0:2fdb07ba9d4f208954f95046f25c098a899ee28b2603577561e5008a8bbb564f,-4.4647958585479603,-4.8473558588686245
0:d75397601c77126b6159ff8adeb0dacfee523257d5f21fe90cf8498a8fa0b07c,-6.9797031177419928,-7.6674718386919594
0:f9cb335966faf46a93d6f3bc20fecd85341e5c6c0ccbedc1a0a2029e7b17c86f,-3.6112869681746762,-3.842367985921598
0:62574a381da666791f875ec9739cba4514ab9755ab0257ea0a3a4da5eff3a990,-4.4319293774039039,-4.8470478009615992
0:77370bc0df79d0a8876dbab9d8f82fe22e304f5bdd7713baa1df07cf32655b40,-4.3554499357771981,-4.8067687697768164
0:1adcbf9955287f935a921d99e694e1df628359686c74543b316c2f45562b9bff,-6.1850887208373742,-6.6939565011005318
0:66a47f39b124bb6bce582d76f5ce6fcce6445a48d551ac84facd566f048eba2b,-5.1202443520448142,-5.5520089943567168
0:67c18a9a89dd1f3793c28f9b5c8a63c96af268c8a4b3b748e13f6941219d7860,-4.8704660433159166,-5.5689741115701885
0:2225ab82147476734dca2e08a11321a0d5a51611d6e3740340681bc6cc8fef6a,-7.0790299173549229,-7.6849189239819058
0:9a3657beedb7e54dcb39e08fc7a5047bb3f6e9a5b55bd57279f419eea6d12840,-5.0019283110679336,-5.5938250485686876
0:2ab77101c089b67b52f8450e4840573b0f731e62a5c3247873fe0a388da65c7d,-0.70397047608836105,-0.74578571157852824
0:83aef91ee55356868bd3827afbad46fc5fad6da32b2be0fd20ea6b49375e6fcb,-0.77940095492902639,-0.93250585114449525
0:1574bfa1f3de44a656b9139bbc602df20b6e59a71a30cd6daa68416ea9440fb0,-0.62840708310860283,-0.71827121027375362
0:b0086a2c57a5841664b62742dc67e29d5feefee73a13515c171c03919493250d,-0.71936606155029459,-0.71936606155049798
0:ccfb871391017d0a675f3841003492be8917756bae55b0a2d2847df4a0b40d3c,-0.70808759604613947,-0.75023886275781404
0:763a153d6834af7ee6d4500a534896334e5a2db6ae2fcb6c6f2af508dfd5ddc5,-0.72061922438417358,-0.77581912720189194
0:477f2f68613c70ac83a1d63d6dcc4ca7768779d216921cf9b7bc80fb2d89a92a,-0.82230347136102999,-0.90186044434081314
0:be7636b77a1ab71e0f5fb04797b36f435b6152f38cc2e5556b867a5ed72f666b,-0.69062073303480176,-0.76250504262998842
0:86ed3adc4308643ad921758cc0d28268e88242d89cbfade4e9070e97bd171bf3,-1.038087998859389,-1.0380879988595169
0:698c62177ddfe5f64fc1b444ca90b08ca4eb3fc5bf7c32743f0459e7c4db513c,-0.74480510005410505,-0.88761573245974468
0:6fbb51b895d87c29b214cd960a05de5a458ea58f93409c06bf3c359a62c3c807,-0.058100323170018342,-0.058100323170028112
0:4c5d30e1beb4d1e2fac89bdf7dc5ca04e34c3b800bc9a504a558da6eab97b74d,-0.00059716172516921517,-0.00059716172512835897
0:44048fe7b776f386f561c3648a2ef43b29aa755614170f0c88d5d2d635b3171c,1,1
0:30a7a512a5f06f05982169a34debf2e80ebe5478f59f8658eb60bac1282ceac0,1,1
0:ae7c7aab1631772bf73c258fafd417cde63191ff9ec8766d52bb0f3604a2646d,-0.1204159055781826,-0.1204159055781826
0:412a5e722c154e119c241df063d2088d0539a3b1614fa57eed94547ccb948942,-0.029717577631022785,-0.029717577631022785
0:90788017ab2c9314c77f28c809f8ab910d96a2c5524d54bd27ebdad288a7b4fe,-0.0013398831563158353,-0.0013398831562616564
0:b8da269f6241fdc343a5d9f141876e50844a586c0969fa228ec7ca6585a43f4a,-0.0077265701840740775,-0.0077265701840651957
0:12662a47bcace729e90ae38b1004f91d9373d149d1b413027f917a8c208b942b,-0.00026922362588877036,-0.00026922362585146686
0:d497e8236199434304804557446e1cfa7578303b7ab0a93821c5fc9c1e9e1b52,-0.052479977518801846,-0.052479977518689047
0:f836b90579e9c0d341312f604d0093d2f8b34f5972340b98cb1cf4c2edd391c3,-0.23960266601009028,-0.40264266115433589
0:35d8f2ecc2ebdeafac25fd803cfc7a982347183f987c83c9813c79f12523d009,-0.47986349572178355,-0.53596765134971314
0:626325e9312b7d5662b4688d4283cab3cb1a7b0a1848e5fb1e12d43b0d0209d6,-0.40383166034752183,-0.47175669821128086
0:4b6388472fe264592628adca3bba64b4926c069f906314d07a477a7b77eb08d3,-0.25245546990794221,-0.63308833650529639
0:4de39d8b72a6acce0d1b1b6806ad2a2ce683d2768bfcdabfafe65bc7b30debdc,-0.37752021715474626,-0.56237767315549547
0:f8abc85c7e609d6f66bc1eedfb60aedc31ab807cd8187fa4645c9aae658d3c49,-0.38353358594386755,-0.6162694328463818
0:e039ead6d971c322994c3d35d7145229342252de1f5fd72534977ab571126e24,-0.38435023269108015,-0.83304825635304169
0:bded0c4a53bb91ca347f774f20bff2dbd1742518788cbee4cb5a2b372962b004,-0.61152043334177919,-0.82985412006163006
0:774838a483cae4fddaae83ba7c260054d7c21efd0b5908a5603f6b73de84d23c,-0.56533412233534541,-0.61083997546205637
0:06e7136c507563f6f8c783027386159a511624422b2f6a3181b066e1d8a8c88b,-0.55678705966836617,-0.55678705966834396
0:53ebae1b041910a18988f8db594f1d906eecac28cbcc97a28e627c37c0cd0cef,1,-0.020059435363933176
0:214a04b26eb457a808629ca221db473544aed7be1bbab63e8ae42bdd61f4c97b,-0.02565262638192678,-0.025652626381918786
0:0501d4e52dd8b0fa24528da05d62fe9bdb4b62c24a4b8dc50e96946b9440ccfa,1,1
0:1c0e59732a3264874664ee71501acbd9145383723517ed45a81e407eec4a88b7,-0.13274401616434073,-0.25235692664500053
0:9dbf05bf1daee954f692bf6ac2174ca3729939da663e0b285986b9dc97150e8d,-0.090597303132352799,-0.09059730313237413
0:07e5c1434bd6e5868f413ade7a2016e6238d588ec74de694ec31cae349666f7b,1,1
0:990a1132619b8f93e9692dd4cf5472d94bfa4bd854f4a276a8a1e08776ff0c5d,1,-0.0036738855868811982
0:9db9d6412b6503b5d6fad51548b345ec948cbebdae0f290fdf1f12ce9a292c10,-0.0004327809963431406,-0.0004327809964461693
0:e7c2b8e08f317e25f9b1481769a5c079cf6099caf102623b582b8da38969812d,1,1
0:86d46bdb62f3fe6dca3786b79e008d6505f5f4ed533429b1bc53909960148f2e,-0.59055730214141,-0.84616799335162352
0:5f39c90914c0d380fbccca05c69a4a1674da3dfb626207b68202904788fdc832,-0.58920021776769982,-0.65020472745283264
0:05e1ed62eff3d702ead0279c885ec41275f15ce9e10c7cf0da9b72bbcf63445b,-1.0369946141961037,-1.0369946141961348
0:30321646180aaff5627a241ce63557915ea0e968c97d5027a32e9ed06049c732,-0.56525149942094,-0.6217364828413654
0:a9433691ebffd55b43919fb57b8403fa3947ea3862cef0035596fbef4f1b1f8f,-0.53015177186418405,-0.53015177186418683
0:903a3d59e57225b2c123a81dcc136250db49ecf33dc77563fc47cf9e6bc8dd31,-0.96792434857486054,-0.96792434857478682
0:6bf51d08b34401d0484b290b9e25f3fbfeea3d240b124556c14ab3e71afcef1f,-0.60549374265652123,-0.60549374265648659
0:6b35a32644a5df13ac3efde95ad2eef7a5858f28f836d5b7d488f7df158f3660,1,1
0:81f7e2eadefd241175f038e091e77d89be948f773fe6120469313645ac08db5d,-0.55534767389737405,-0.55532680645307497
0:921895d64ed314038d554cf6abd1aa69984411d37b2a36fd9e349af676250542,-0.5572210191519158,-0.55722101915188116
