2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:dfaa0f8dd0943832f0b8294b22040d562557630297da0fba69d0743366eb2eeb,-25.902959902489819,-231.25167448547296
0:12725aeb980fd5574ad2590f985dad8c3042f9a6b38bf0ee6dabb5d686b19a93,-30.619699661315099,-244.98787751837406
0:cae4dff5866cecfb8baaf352fc7adca37ded00cd27bbfd7c0f19bc72554946eb,1,1
0:776b1c5a9e6018f1797c513cfd566ae49f736c5e28570a3e0a546b680c9fde50,-2.875053723983001e-06,-1.1701302121025492e-05
0:a6370f41c85b53192a33838193dc6f1d2411b06c7baa69ed8c99ab8cdcddbb87,-9.5083007380480922e-05,-0.0003063197588186739
0:1ef88f240582fc10027a4e4f3d29cd312c2e18f5149ba82f6236b4133a058ab7,-10.069207464788262,-244.11102536108103
0:abc5c7dda3080d625d0d7f0facaacf1de3825f646a4e83cd8141cb0e45976fba,-11.954606273611772,-213.43078199016398
0:3a0c0a66c5ead33afbb465d22e9eaff2ad43bec48817e2afd392f3f6031193c9,-11.880495778825811,-266.83082733525794
0:66c867caf773435e36d70b074a33b1c1d5aef05ccbc08259f2126b92bf5eb7cd,-7.1283660086453864,-266.44441182795993
0:b7cf4dae4bc70e75dd2beb91f74bab4589acb3d292af1e5f790cbb2cf4ebe9aa,-14.594986715089931,-180.91100488328061
0:1bd97b06c50a45fe47ccdd56a38ac0e80451d82fe81df45bc5101f3597dc4d0b,-13.592757609219527,-275.59959635314181
0:df4c26119ce55a2b76a97a2b2dcf127e956400af624e6d6b5be236dbdfe26fa4,-2.3936338138241808e-05,-7.711339347338253e-05
0:30837c959f8eb228d4770d08533de1a06d9afd2cd748b99bfb4c4c6058d623ea,-15.632150904535674,-129.07329783902517
0:a01b3a5d88aa4be634fb68d9d93b9fab77fb98de2a8ed4757748bb7265177268,-11.825234357734313,-87.887865903057431
0:f91e15fdda000cd1b0585e6a84e4f36a1f95992d325654cd5aaf1ea7103a5b0e,-12.599622300443233,-83.347384238540883
0:57967186b9daf20bb998e80ead75c4fdfe8ed0aa8ac6e2c02d54324d9790204c,-10.689749898711868,-92.600722466006701
0:bae487d78211082df42219132755fefb6ca39935819e33ed564833aa367c4e35,-11.903848142630338,-109.2217566688677
0:7eac78fb5ff79d438a4a0f24f0e7e50edc64522c49742c75d639d994f90b7adb,-13.355572111087969,-100.10978399635422
0:843fec39d233ff25432fc3007f092b4d2588defac98fd4589de7ba72e41f2285,-11.450917150090529,-100.44493910267572
0:f52984206057a90af5bada6e1867de400a25e20c7df30a3d53f83b1aefd4aeba,-13.080454779319194,-94.824461505728038
0:893b091ce1f6b8b8fc7e401adc0e849b27e599e5318fa82f14552304ba1e767b,-11.441136125341128,-93.5339832379846
0:61b10e64cac314bbcbc517178c08445f039024484aee251d55fe9bd7f0e7d6f2,-11.869559415244757,-97.992123249619937
