2,My CPTP MIP pricer,BaPCod
0:0b903ea68561e1078e911a1d00a6d6fd0d95f321577698b7aaf80dbda3f9c882,1.0000071737735448,1.3812709989802481
0:cf3c1f8eaf191bb77e7ba0fad6ca54492f07f11f11a1105cf74bc609621eb27e,1.0000088080249563,1.6810745402893597
0:1ed6480430e162147b080f98cc9b9b552478cae699ed94ecd8a9c528ad401770,1.5435807176755869,1.0000036863614212
0:503ee96488ec6d0950a40706c87564f5a8c8bc2b88b9064be6e0cc809e738743,1.0000092800035041,2.2684692949740057
0:ff131ace07b65eb3cb2db1d58cdf03f7d61f56abe0a42c3d232ed94d9e5a8587,1.0000044864562188,1.0508555963628659
0:886ce8dfd042b11d2049e9d74b2e02a9e6db55a8dfae88fed52bec75ec220d9b,1.0000052278651275,1.1140872301709297
0:58156cb35554a6434368450900109a5fd9743249c4e10ebeb3c0c0c490a6f237,1.0000100217943964,3.0975631706271627
0:735cd7b5aa87adb68f854c6d66b04bc76d04d30666411df72f124bd03557d158,1.000003281326173,1.0013929885869242
0:f8bcd2476fcc473ae0232280dd9d1ca81a7076cd044c56705257e546ae0d3923,1.0000070378196948,1.146520016333372
0:bffef2770ebb7ba09e2cb23535fa6a44de4c6fa7baadae0370385d53b6a6b8c3,1.0000072136347506,2.1210469552077287
0:0870c7d17c012e01bda7b2f85213eee6a98795ffccf9b3dad4192b302fbebd9f,8.9258395769367649,1.0000036977949014
0:2d58a53ef0347f290ecbaa14d19d39d7cba16696d3d16fe91d7cc83419471767,1.0001200573874311,209.72787432392684
0:8e00d0a1fdd117355a9235b6d34d98a04f09695c1ab26f2d61bb1cd2d9bafaf6,1.0000878174380843,138.4120675210718
0:182a28c274d387f5baeea8442fe6e01cedd0ef09ded831bf53f6bc9aa4cc9c6e,15.163291528227472,1.0000062778284364
0:356291e8c6b6cb0ec3873b2b3040ef472f1ecddefc305b3e45d3e35a6c56f137,1.0000823470896891,87.183424024928115
0:002332dc009d16d87223c05e3821cb7f1c221b986004556e0bd4484a58317e70,1.000316106578494,385.56356745240225
0:142aed8884861b3f4447082de6953fdb5f8a62ca6af723297ddf2e116c670703,1.0002629108968679,441.65643329819096
0:0e6bad8d4a205b3b5b3e2b46a10683fbddc5c1a1c4d26ed589e8b8b68c8ebfe6,1.0000129778391715,2.1467975300057374
0:6a3ffa3e794b3ca4578be7903672384ea0b63c35658ff5f578f9bd39137bdede,1.0002164178942972,383.55264689905619
0:57fe1f4897ad87d6c273130ed2981d8c496c180a178accaaf13a3dad18ec8ab8,92.335967507257763,1.0006895743257687
0:37aaaa1114b632b791009ea84d58be82268de9b5cbad26e2b71a654755c3a2a1,1.0000772989280957,1.8505819449801693
0:9c9f14d6d84eb7d175f5a3dc6e75a4c9d7702952cbe567fd7d251c72c253b51b,1.0000760752475488,1.470976532307636
0:c14b2fa0d3dc9b841d939707082d62eed7b77a9f0e734b75f2d3ab8b35690ab4,1.0000635208999642,1.2692473090958754
0:3c7c7eebd6dac79c96f448e96c2373e4bc00d7716af79f46e759f1c1b5fdf4d4,1.0000733280292726,1.4290496320766131
0:de1cabf8f6f61cf0dd762ba5e250cc2778b1f9a75e2e8c9cfc7918a771cebc90,1.0001124935316219,2.8934371273651767
0:0029fe67dca5ac037f26f020e5344b16a9367218f641bb1e21f41a626cc03171,1.0001934374413644,3.5031269162396534
0:977c5c1bc783b674952b828f8b4e8c27b507384cd5f686282e8e8d6c32a6a4a0,1.0000645812519333,1.2591574600710265
0:29dd1b595bb213d3722a41bc30e65ea56c22aff7881fe525ff5ae39153d84e45,1.0002139279961151,5.7054746313485811
0:d0874464084622a7db52a63cf99857a0a13c13646ace1b023f3ce7ac7b43babc,1.0001853698684986,5.2679910725871339
0:b4789ac989c3832a3e981878261142decf54c362750b7af8768a9401a8cdd914,1.0001697020710441,4.4949717276349643
