2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:30fd633b5b334aedc902ceac625a0b1557a3a1250b3bd8fc912f4e1fb5c0a6aa,1,-0.0037503713718294307
0:8397cdd455ee703cb464c8a30c45ee2d5a10d78ab7784ca15591491baf72dd37,1,-0.03279206669275414
0:c644f84ed850a56a47607ed624b9638fb5e00c86485460b1c02256ca81354d3f,1,-0.00053345704520779691
0:7edc507ae4283ebff738f7fc463401df98b0b9b079276bbb13ea851a794019cb,1,-0.002088952163887825
0:b8702d765726e70215a5bee7c86be211a21186e4e50832d8769d9d863b363d2c,1,-0.13693655878398658
0:1bb741acbd8b6bb8965054342306222900323d00fd3638ac49350a6dea840b91,1,-0.025598906034530522
0:bd56768149229b950a54fc0d4564ba2a874167a5b7a6d116dfd08323e8c589c8,1,-0.058565427245838464
0:cec68fc185077c3db0112fb19394b38da600575a2d90db3498eae03e8990b0dc,1,-0.029970535654783248
0:6a78d2f4d76a8f7ca402321caeceb3a8e47b95eea9bb0dbdded840f770495325,1,-0.00019196546181632357
0:160863e19c7ba765e03dbc6ccbaf73b9cf1b66e845815de04ed93a656ff1c14e,1,-0.011845637951431343
0:bc4e5f18281ceafa0a06e10b9e1ef39940c8bb53ce1685e8fe8da4edca4c75e8,-2.0272037344957621,-6.0950243896950305
0:dd5450fba7f2abdca4673beaffdff2032e11dd2a45c812795be6966f55c117c7,-1.7747805798655154,-4.0999887602669922
0:32fc08a9455e536170b8790e931e6fbc427976387dab85a2419ac2914755b091,-1.5692514551416927,-3.9176593748408131
0:3895b060518efe84434c4e253c2ee79e31420022ebafdae8a6c08f58f8f777b6,-1.9136500280956437,-5.1966806764349052
0:90394c3e375ed4be71a2c084d926ef0532a4b66af6592cff046f961853e5e614,-1.3204785367169389,-2.9689009575422123
0:5f98b03e7012bc4b02d83608955e4cd8d99883701ca2aea274e9ea89a5e12a25,-1.6080773634644974,-4.4849971385195877
0:6c690a8cff14fd42a76c96c9e0b8a6bcb9845458c2780aabb6e3e416305c939a,-1.4571794300913901,-3.8142524449911761
0:6447f740baea8e0312ee684c41a48848286f68d29e762cd1f8430073f2fff4c3,-1.3937261272974251,-3.2082995177312341
0:f06f1eeac6e213cf0608cbaa1f19e66293012991bc6b1f68bf2ac2f4ab8473e1,-1.2000928452833044,-3.1635380621119227
0:27273fdd4f536a059730c771607627a093e0bf020f098e389421b56163e46e6f,-1.1964760999641957,-4.2495560319431647
