3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:ae240255e72012a472077c8c9c2677e1f96dd89afa02b2f9094313dd73d6ff7d,-20.533536314564582,-10.359834088780932,-78.723889886943894
0:3ded95e0d14a206a7cd921fd256df93fdda31bd080e3e6dad6a1e1f816d076fc,-15.462987746873647,-9.4844719830826829,-81.023080241591728
0:2d51fd717e38f3dae25b9cd1475863494949a708b0f7464786a23e15ffd973b7,-20.333982811828321,-15.17785983825595,-77.742474916387906
0:b5d4df2be33a8032f4d89aff6c530ba7d578fefefca7a157714013864d997351,-19.666242560950238,-15.338358866317884,-78.923468386717005
0:170de9cfc6f1cdf5049dd0811a36bc917b0dab2fe060c0e9b2b38d8069cdf8c4,-18.097059323466699,-7.7845189804992714,-83.034965034965154
0:f6a4cdc2a292b10c33e2928934782d8a68edd437c75008e47663172ae05e6331,-18.485902970502945,-14.505613658705695,-78.788460493311334
0:1b794e174edab0d4e7bfb870c8dfd74af3a513fdf40e180ae617d9a4460bf16b,-18.105262856647492,-8.1566483708195161,-79.014983200991225
0:4da81940430dd03f5a2a8724fbf4e13816356886e0a7fbbc8f0edcc8a8833ad6,-15.930143160533349,-16.956432717066726,-81.871508802553933
0:d8757bb7bce27c90dc1bf534146e9169e803443d281f3b60e3494a414857ea44,-15.438500551488497,-16.234552805542027,-79.579030797101439
0:17639490cc8805d54afd0cd5bd049572a88165ed26659e5c38d9819e56029df5,-18.284352953448153,-9.6548421948114207,-80.1157608695639
0:47687cfc2e1f330407a94b44c98c848014b786414831e805a6c2ccab058c44bc,-13.719312813410518,1,-30.2311795732438
0:d12afef8c9db1ab503ad5785f52a70bb76297378e972778742c0d829f6052ed6,-13.546309968398555,-0.23749999999991189,-26.532681698723451
0:a6509cd4d8582a91549e374adf673837bd916d5f32c3087939fa2c8622ca3b80,1,1,-26.832348685797022
