3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:ae240255e72012a472077c8c9c2677e1f96dd89afa02b2f9094313dd73d6ff7d,2,2,2
0:3ded95e0d14a206a7cd921fd256df93fdda31bd080e3e6dad6a1e1f816d076fc,2,2,2
0:2d51fd717e38f3dae25b9cd1475863494949a708b0f7464786a23e15ffd973b7,2,2,2
0:b5d4df2be33a8032f4d89aff6c530ba7d578fefefca7a157714013864d997351,2,2,2
0:170de9cfc6f1cdf5049dd0811a36bc917b0dab2fe060c0e9b2b38d8069cdf8c4,2,2,2
0:f6a4cdc2a292b10c33e2928934782d8a68edd437c75008e47663172ae05e6331,2,2,2
0:1b794e174edab0d4e7bfb870c8dfd74af3a513fdf40e180ae617d9a4460bf16b,2,2,2
0:4da81940430dd03f5a2a8724fbf4e13816356886e0a7fbbc8f0edcc8a8833ad6,2,2,2
0:d8757bb7bce27c90dc1bf534146e9169e803443d281f3b60e3494a414857ea44,2,2,2
0:17639490cc8805d54afd0cd5bd049572a88165ed26659e5c38d9819e56029df5,2,2,2
0:47687cfc2e1f330407a94b44c98c848014b786414831e805a6c2ccab058c44bc,2,1,2
0:d12afef8c9db1ab503ad5785f52a70bb76297378e972778742c0d829f6052ed6,2,-0.23749999999991189,2
0:a6509cd4d8582a91549e374adf673837bd916d5f32c3087939fa2c8622ca3b80,1,1,2
0:ac691b49e43bb965734d8ce41420dbdfb45989640275945c4fae1880af7365d2,2,1,2
0:f1e95cd034c42a603108abe8acb899af8fca450df69aa5d70e59767c6fdda54f,-1.6486486486488301,-1.6486486486488301,2
0:d833f41302d2aa3ee73e8403393346d3a6a4629aaa11bd26154db0308403c978,2,-0.70115384615375831,2
0:b5427d19ab244175a17cf222c533143f0f19b4e5f542b7a3d8dc9f7fd1c67efd,2,1,2
0:245497dbc9fd6e8d5a321d671aa5eca5e7ec86f0ab3ad4134fcef75353638fca,2,-1.6486486486487095,2
0:f99bf3f6b05ea879f91209052ee7190cf43b6a12d4f7bd2c6b507e9f3e2c875b,2,1,2
0:d39fc170c4c08b4cc92dd0b47f13a60edfc69be2982aef0de67f5db8a6668f2d,2,-0.16919134615365294,2
0:381df8684a56d5743da55c6bc392d41c77150172d6650a379de6a0a76ceedfe0,2,2,2
0:ec51cc70949bae593d6d2a270de8126271509c8a75c6f1a778c33154b1e2957c,2,2,2
0:853cc61fd725e435433cbe1bff6b2fc4f92c91213e264b9c2b04f6a3dd7d92ef,2,2,2
0:ffeb015db12fe12fa89c430103a3e9549b4a9410344f997319c0b2856dcfdb4f,2,2,2
0:784a63215aeba685588a518d864b118ba97d0f2a4ec7ece20057bc42287230fb,2,2,2
0:261013537ba872a1eeb07aefecfb4f373a466f464ad22509f09467b6043255ad,2,2,2
0:14fde41bc4d44ec259ff7fbb7b9e2f2906663950bd6fc43c3e281aa1d704cf84,2,2,2
0:b6479ef7a5b4f451cf55937803edff804599cb5c999e8b191a76474633877c96,2,2,2
0:b5ebe5abc3d0d61392934c233a38bbc2549a4f3a6194c8d70f25a81254ef055c,2,2,2
0:e38c5bd253ba4f1a09c62254bb6c9c7baf0495ef555a2af7a33de3af32a66450,2,2,2
0:0a36e097115314040ed8aeedc48a2d9abc2553260d349d84d256ef6210db1312,1,1,2
0:d1441fdf3ab35731d3413183dffb92a86d6fd9024607bb5fee055696d3c12d26,1,1,2
0:c18c7c0f9197963afb17b60a952391fd71230be7efb3bc13d3aecef139cb0e19,1,1,2
0:f144728981565ee6f9013d8eaa6a9ed81136cc83cd6a2b7c640523372b014534,1,1,2
0:7857fa1c00b5fad6614e35a5de95a567c7137a3ef4fd3d93408e10a0ca931493,-0.10204081632653317,-0.10204081632653672,2
0:a99471fa986894e4893254c04f18ee1a271ef156c7cf90d5d3835bd55b88ed6b,-1.0000000000000711,-1.0000000000000746,2
0:14f1e50b3402f55cab66ff3028407e29e1a68b46dd862da4b79b415ec7598372,-0.34693877551023888,-0.34693877551029573,2
0:4ad95f6b22a28bd3e4fd51b652324dce6a463e8f54c5bbb08dbc9768b452534f,-0.079446714285651865,-0.079446714285651865,2
0:ebe755f9b7efa221141318daa03beabfb673055a87e7856fe259375af5d17bc1,1,1,2
0:e83e492a30c2bb9b876b3519f46c0b544ef1f7604006121c4310b903ecf4e08f,-0.96718661518669802,-0.96718661518670146,2
0:d452666de5c15454b75ae45c60b2fa1842a969f769950c51d429ede417217864,-0.206278509999823,-0.206278509999823,2
0:57b2e3b3a5c4ea699e42e6fe7a79368ed3b78431f6f7eef91a73047adccfeca8,-1.1758509642856829,-1.1758509642856794,2
0:3f26fc867b3d31ad94d7df23cc81c0cf97ee5b64da8de477de577afafdc15959,1,1,2
0:5602099675e24ec8e84a5e98c6257174bc969d90949f63557f2fd22b21eb5484,-0.24561403508752733,-0.2456140350876197,2
0:a547df2a57491e71fe9b4ba53f77738f75d73a2f4d302229668a52d5beb1566e,1,1,2
0:a3d1676b8eae1114af6769c21806ec14bb61fb0148de91905e5c9eb09c1f825e,-1.5495618537042262,-1.5495618537042262,2
0:858fbae3592a9b64c2be7916fd499afba7f4eb4b9e0a04e9662e3ef2e1a5a0a2,1,1,2
0:47cfdf2777116dc11188338bbe3f0f4473f2c95777ac60db15054621400f90c9,-1.2857142857142865,-1.285714285714322,2
0:6bda0dcb8c9a4b38f28ba1cc10de10fa62c90fff39088f5d44a6925460a6d059,1,1,2
0:6c23bb9c11117cc3528ed7859843c5dd7b10845b1bffeede95c8cd31e46b88cd,1,1,2
0:19c2ecb397b2fb9ff434ff78cf854edaee39bf839fa34c4383eee9c2d862753c,2,2,2
0:813c7c544c82ab66c3d0c05b01e579ebf408bb511a60fdb6fc4d36896ab7085f,2,2,2
0:6bee54b6744a1a8211e9e0a0ffefda836b85c453d95a8d7ef796440a258cb242,2,2,2
0:ae064176fc65ce513f33a880968a0e09a3070a5167a2c24bf09dc04a60e508e5,2,2,2
0:6d09a228fa581c4c29a8f7e85f6d331caa891760341db0824944a5209cde7b5d,2,2,2
0:03bb07bd37ff1137462069b2348dd095d2018770e8270418947180b0729e6ba2,2,2,2
0:77f5283dc7b654a3361cb97987e522a5c04b02a9760c4750fb682374ab62fb78,2,2,2
0:e0e3207720fd3c790623a82456c16b5c4c4d06b13f3bdbc51e2c0e66278411aa,2,1,2
0:94a4cd9e9478434fdbd58dfd19abda7c609e0be2877b0f0470019cb9c0b4e2f9,2,2,2
0:e1495b3817f3a61ac756d558ffdfdf2937f1f25bd2b161cc941f90af432dfad4,2,2,2
0:81df5344f1d4a29400b1aaebdeed18902a314ec59d0add7dc2851086fe619262,2,2,2
0:24fe39cb099ac45c51d621b1613a11895b8116e4d9d07ff84b8fe04f6dcd480f,2,2,2
0:af5278e064615d1b1fa9eb5127926fb270678cf5f598f5fc26d2c287d8463907,2,2,2
0:44ac9610d6440d81c0c0a697cf10bd2f041ca75b81316fd8ceca3c4d9f177dd9,2,2,2
0:475aa0ba489abe6794af4209f94d4d9d1163de6e07069e8af1186a3278872abd,2,2,2
0:f5e9fbe7eb0b5c08efc08dacba8ce0416a46224dc003e73ff453ae44c8e8f6f4,2,2,2
0:3113568a37c8f459668dfe0b5ecbc93e99e44a0252fedf66c9e2c9d7dddca442,2,2,2
0:74f783d44047c13c8a2460f42d582ce55d9fb2aac3143e91bd7e6ebb52f7e080,2,2,2
0:3895252d981d39f5b2ccc2f81aa12e82b3967cc0aaae6fede87023429f5c95c3,2,2,2
0:c02736ddaf2c67fd6378275fc0e05ab67f4eba681d37b0119b21f93312321dd0,2,2,2
0:ee7260e678f9b1d2859a6d99c43d45fa0863abcddf2f1a8738a74aaaab588b0f,2,2,2
0:9210c4598f4fe0787fdb561bfa610ddb194dcdebabc6958dc25e494714d3e56f,2,2,2
0:84304240872c8361beb9c4944dd514ac13a7e24ea02a06bcffc949d3673216eb,2,2,2
0:c9b717c6c6ccd5d8a00bb848b007b3cc09f8f85c4fa6bd4d1a0cf30e691815bb,2,2,2
0:35d95d81cf945675ab15c0c9308a73d96771b15e65ebd60af107724a38380635,2,2,2
0:ef060a0d803213efb6e473fbc626a8b5b4fcf64883ca7eff9ac8f7496badc5eb,2,2,2
0:c03024322a322f5526e0ffc098005a1a256009bc991998939c86fc00a734404b,2,2,2
0:7da7350d1a6888de030b7bb0359d67bc07418cadd6bde9dc77bee4a6e9f4a02b,2,2,2
0:1ad2a633120798cb58a21985690bf2e2faa9b6734f835c146289cc8d2f3e7c57,2,2,2
0:7937fd4686c296b20bfa8fcea0d28b16998664bd4476ceeff07bae701bffbc99,1,1,2
0:22fa1ca391079acc4a056b4fed895790a5dd9dc540050304c451ddbb03b67bb7,1,1,2
0:15fb305bc9338fbbf138e16ec95b3655049fe8545db72d5b3433dab20f9bd0af,2,-0.82425208333335576,2
0:218d41e4da7d2807ed6c63cc048e99318bcee0ab35e0fb0537454c2c6646cf58,-0.025762820512859719,-0.025762820512861499,2
