3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:5e28516bf0bd913f10786fcfff0aebe743d72881797bdf74350da671b22449d4,-7.7739039785226929,-73.862239808526439,-93.875013376136806
0:75fd318b192282f046e218d65bb2cc78dc5be1185326498ddc2f257e2520bbda,-11.897732124852409,-75.771183517822351,-88.664257167335847
0:1bbf2b161578b9868c17d85ece1766a57a82f703a2f00e8db0f63ec044672cf6,-6.02002004276682,-73.487651551780843,-92.8287024187143
0:77c90cfc37df908b5c69da006a18bcc32fb865b1b680fbdb538bb95ef60925b4,-8.5324041602998708,-75.000303692905902,-90.116507234693302
0:e8e751fd491c1ae907f781ca2745d46bd413199e6cf13c02fbd436979899b570,-9.2951946952394007,-75.807881825440603,-92.459708345060548
0:90b804f952307ac8e06653f6bb675c8ba9ec708a595e78aa978f06942d10611c,-8.2508261618971606,-73.603089874512307,-91.121284690236337
0:6cce7f1961b9412b816f036f685a8903471fe984f5db6ff8d3de4c7052f71c0e,-38.836613837490418,-73.140982502107093,-89.28910686803286
0:c488922bbafd2bf657ff565d7590ef64d6d6c3cc97c62d405e204cc10d8a4ebb,-6.1726290547335347,-76.747664388336005,-89.36096256684516
0:2a4fa56327d025c514179e5e2d62ff520fa05cba6ea86a55d8ab2a1afd41cce7,-9.3141817978887893,-76.95049117083154,-91.660580524344596
0:790156bd010ca54f1ab7f480c598c6c9c51f3a4d876038e671a9b4221fb034fd,-36.556601123228269,-72.497273876581559,-89.325268027499305
0:7212eed85ddb16bc179eabcc2b7a3eb17269c8def6fba3bebe00c1942a727402,-13.009047544649865,-25.018096602181089,-60.84031193569048
0:0831d0d318e999f776a32326266f08a803475deeeae169caa55bea5c2e652074,-17.514376958687667,-25.770507233237741,-60.550944516526499
0:a6ed1124f325d0818c0f22235857f2de200457d4e7e8930e969ec981c2e4a512,-12.650395773690718,-23.051475550926963,-62.9594030310964
0:7c28aea2c5bb3e95baf8c757e9cc846060dfb72372ecae4648604d60a10e5306,-14.7205663785558,-23.322312534694547,-62.718449459173037
0:cfaf1f2bc5a8270da9d70bb6fe161aceb7e6571edf6d22f59ce035a44126adaf,-10.273784956392293,-25.355045003815277,-62.3755284613501
0:c9bbf7efef0a4f7303b14f9c82ec7d5a9a83c76d5e12b9fb2b27463a24ed4e2c,-12.505270892267252,-35.139688426029501,-61.595890745682169
0:076887e43131c5cae222eb06da2cd63aaf242ef61fe95b0962985da4a0dbd7eb,-13.156120239341371,-28.763294167507432,-62.522677986764201
0:d5a30fffc746b476c430ef3925df729c0fd42ddeaf1636a51a6b167b208b65dd,-12.178213550869868,-19.918332527880381,-63.846989515259487
0:0007ac643066191d805a8ff1a34c6f1b59f2af74670c0275d20df6e589631629,-16.482011650902329,-24.058636088636479,-62.977367260042087
0:127af02f3dd4027683126b4649d82cfb73abe065208aef9df70249ed6b470b9c,-10.703707661566588,-28.1833052754588,-62.193080053204568
0:195228ff47be776cc6273921c4717c7e0eebec1f83d7234a247812e6df5514b5,-15.512388549959001,-20.246805943288237,-78.510669934908094
0:18440ef70a576bbd2fb8b72c2d9fe6bc03c76632bd2fdf626fb191233a7f7f9e,-23.348125711474552,-20.071351113131708,-77.392341559486894
0:d0cb5322e3d96f26e8b5dece0c1b2c565b78ec067b94e10cbdc4afc672c8afc3,-7.3263506489827401,-12.909652683399909,-76.770721710850793
0:290f09d747600d1d53b5c22cd5dde0911482f9926d961bb79e6613f36218ad92,-11.775059450689771,-36.784936962140598,-78.601092896161276
0:5efb584478eb03f272c86cf57bd978c3a813e12800810d1ca309bd00237eca0b,-16.210760642040874,-20.570353697375907,-78.039107902562193
0:4facf6cefcc7b9bbce91748146b4f75d538a7d9654032ed1e5f5ef1a93de43cc,-18.524122207204154,-50.514363378571197,-78.357148236762555
0:fc98b50150414c7e957f2347dde741e6a3b9e1c6ca96d856e0d85e1a48b0d147,-11.866704532517836,-9.5714110423114995,-77.192871602233652
0:7e9bafc06e2805c34a29a6005eeb4d57bfaf09f1c0119813eebce18f4dcf33fc,-19.9128072476711,-40.971161416041149,-78.355576496136393
0:ffe360665aad6ff1872ba1a001c8df8c91988b01dba5026fa42b00b5dbd4aa8e,-13.775729645890806,-27.527705372828173,-77.663503163501375
0:92d0fd91b113dac9bc305eb33fcaacdf6276d887d1bf1f28de77b523bafb89da,-15.823847330554008,-35.180678176500699,-77.024783515967925
0:e4d552f3a81c0b52853e20fbe6c7303c72495282c9fd9ebdc12c27479a19abe5,-10.603156362295477,-23.465950713254248,-93.26933272560477
0:eff89031d3e07601db8a68f0c4e88e12df5878b3b59d2becc0484ede622f3ac7,-15.436973056451395,-12.276231134095744,-93.323613910540004
0:0e1e78ed083ccc4e0cc7a08f432f603a29946f61a37c595801d70bbaa042ef45,-10.617475801454404,-4.0474885689482996,-87.876765320469971
0:0b03daa51cbf83b27c362673d28d31bd73385680a09a9af9fd66eeda39680411,-13.307136746482394,-9.7442968025946897,-95.103634609032042
0:52b3de195e8203273a53b560cb6b529d8e822c75f180aae21cf7c4a4507f8ee6,-15.674088226123441,-5.5055264429838422,-94.072727272727377
0:036dcd34f1112074394b9021f1f7edb6db773cff3e16376648f73d56fd917b52,-16.801149057810999,-28.250414190254126,-92.304560759105499
0:16bcee630950526b12496b02df89084d865a602b56f4b5f930c1f0124dc7efb0,-14.877797325369636,-8.6535946826293397,-92.655287385482765
0:fd170de352e686561999ae4b7a09b50e7ea2c98a52c98ea0e15e531785431292,-14.320271743935896,-12.116216289223942,-93.230905103667993
0:1846ed65ff36a0760201f0bace6a8703c9783a14153324e5b618163693672d26,-13.895229733864678,-46.298490290584297,-94.176623376623468
0:0bf41645057fcca130396f80bcad180d567de3e2accc73440b12820962d7d6ce,-18.302949499618581,-19.368131304652771,-92.979354483518222
0:724560c6c0fef31a4e30c9f07213f12b58910fdf48b50592ff0a9463b80474b1,-35.363913018706988,-86.469638685563666,-105.13478461183433
0:0c87609bfbb80a87ca39d32ebd69ce9e529561c86d97d256982629d2064e1726,-35.474885063687069,-74.42090540025076,-104.87290040003843
0:8b33ba533b4498270eb3cf8fa1d789481d2a02fed10baae82dec1b52ccf75f54,-32.238430777770176,-79.48047411317323,-104.59634292832664
0:d40b4b56f753fb91ab2c6a3d773428ab13c0e59144249a9d2f238d8b68a8b2ae,-33.736201511372364,-79.923148044291935,-104.92067550620665
0:659932eeedc4e83ad78a7874dd6729452eb32fc963d18043bf21ea2fe21639db,-34.839711758549399,-82.58949154354346,-105.63606106069012
0:998a2da120803384a2a8c971a915c5f623d0b35ff0022701065382a91a1b9206,-35.302087782512956,-79.359528273120503,-104.87760388100426
0:d5ae5eb5f8754f848eca343ce1c02518a04a59c252e426fd3df93aae1f00ec22,-34.691389435128947,-80.810834378412125,-104.40285395981122
0:b54a1e97c11454f689fa37846987c061af995c62dc3b020a2a36eb744821d66e,-29.455985975065619,-82.885150556973272,-105.7629527412241
0:fd52912b2f8d3ed473500748ce5047b4a2182f9d4384965a3b997df712940eab,-30.760067685652771,-80.62368392516926,-106.08508816039389
0:b686cc5177269d42cc2afccd4ad3819610154d782f9f90d2147429e18d2603a6,-16.757740279502102,-65.738390188430031,-92.366773754739299
0:6becbb0f73a8a9f63042ba2996f1e767aea9ceae0e938933e9c6bcb454aa69e6,-20.533042719610748,-67.250481115938101,-92.750360750360542
0:58faad0d2a9595a66e7f9a22fdb1b56eeea9440d9228e773a32663cc74f0b6ba,-19.642698530756508,-58.129934692171879,-92.880469100969066
0:3ae1dfdc5a33c95a2d28fecdcd0724eb52b03429ead93ae2a355c20415cd78d6,-22.815340606215724,-70.568090909090898,-93.176895424836431
0:2983780b7275f056746cdd409d87bc0bdf8181fa3c68913a2d7ca8555c9730f2,-18.498272138087476,-73.965638581317293,-92.54054547442945
0:7e24ef2bd0139c4cec6a60beafa6bde46df53d85e48dac2373724375749c8b96,-18.704117887205651,-71.136064526454902,-93.113796216561852
0:5c13930960890ce6f71d1649440b60ab9e02849d7e5d326a8ec029e0b1f0e64e,-20.778702347936232,-69.863953489649106,-92.7439454690969
0:3af97f508302e921c32c5493b93647d4dfaf54ffff69b0ede8523df590942f81,-23.736067259897371,-65.233302597402627,-92.462548108864823
0:38b731a0a6de8a015233fa851d635930c8c7feed13285fd590867e98e0ddb772,-19.02820432952317,-67.527919638426596,-92.913976847122868
0:140e8268a630a23d1af31281381abe8450feaf1e25d03ffbff073a88483e5264,-20.3665898592653,-66.410227028901403,-92.872047325102898
0:3d11b9be548963936359532e6dccae8d11c072680cb418ec1384c39290cf6b7e,-18.233691833904501,-15.267059744513212,-67.636946386946207
0:777fa3efda5af81339cfa9b210aa5976485da518e83ace0743f8e4aca067f980,-17.358205321407343,-12.541158257950848,-74.759696942469404
0:80e7a3ccafcf2a4f332e307aa633df3f0b449977c3a09091c5be29648f72f8b4,-19.478321102064122,-14.778229644156673,-77.058838815672004
0:fcca0fdf73c8e003afaa80bbc061e6a0c23386939a5bba138298cc327fa9a068,-22.19554042689607,-13.786520036101207,-75.432620924432442
0:875810d5e70068d008cb0efb8e2ea2aee373ae4d24e1c89fcc08c3e9717c0833,-19.085757896952277,-15.714034085156866,-77.595525389642773
0:1d8e7f0561a0d73b708cfbcf73b65f2fc3a875052189e4b3ecda689e5cf6521c,-19.97772193096997,-17.763883798070268,-74.862734793531104
0:67a2ae9ed5fc31bd92326acf421012e2d24ea205859546b425940cd2455208ed,-28.627464763396976,-11.937039241148948,-75.014245014245049
0:2ccff5ff6959e30cb20f236b1bec722122d84b5ac279f10e0fbd8d2b6f458f97,-17.33685530892399,-14.274432497012503,-75.521779504443174
0:29059cb79e78bda716f1f3009363fc5cb7447345f46dfe4500217976211bf6f4,-20.285873628997791,-17.077331298331416,-76.531531531559907
0:6e05841d6f2b5e60af69cdf9cadc55b67b9610d1fd3b363b8f8147c9a0ef5a70,-17.046704929871385,-14.5131349693859,-76.503264208909357
0:ad8ae8e5c018e96b17b9cc6fe97ef717dfdc639181b3bcc5dfff6f5f56a21dc7,-0.15999999999984027,-0.15999999999984027,-39.919318200349785
0:3c0fbd9435e82b0456a89de8c8df6abd0b9fe10950c9d247441d68742f78061e,1,1,-40.403740082820534
0:6a2a1dad0096a38740fdb0f8e4dce63b74bdeffe0e88a76aa2e9f0419005351c,1,1,-40.883033784397455
0:e24b0484f83a9cfcb76bbee5c82e86be2e533b6fe3efcb6891354a35e80b95e6,-0.57567999999996999,-0.57567999999995578,-42.451224919834971
0:6519b1c5933b6bca47ce403be996d9b04ea56e4960015334130b704e6ee4b12b,-0.035714285714320226,-0.035714285714313121,-44.379499437570381
0:0df5007eabcf9c2963aba8b5ea00339c1aa6a64acba2a789a379c5bb1b07ca3e,-2.2467686280554,-1.1199999999999761,-47.513984598187982
0:ba45c76449b889c16c4559bd3d8993fd568a9475fa28c485e35761a2b7de5868,-0.066239999999879728,-0.066239999999893939,-39.294120106100799
0:c4afddee23f5a160dc7bcb19c62bc4b38395e2c4c3ff7143858f9cab88b3886c,1,1,-42.190964706346044
0:3afcb279941863523c6f98cd2b6efc6e4e16c984e520242d6c9b7bc268271934,1,1,-41.282542579075518
0:061a62850633e426547ecdd161eea5a9e5d774fc67e11c61e820d1db9f560dc8,-0.0086149744662122902,-0.008614974466205183,-41.571012138189936
0:ea617685ed1d94a9d3facc03a37bd216e09c28a2fda369c6031962532df40e81,-18.922237651150716,-53.885489881116101,-120.27213820634543
0:12a627792e5097634ec6f723d8534f3c35fd772b9d26105cb39abb84c85daf01,-18.466175750484034,-41.717299757641428,-117.13972174706208
