3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:d9f361f5f2d514859bdb4b3969bcce68949c6732017029178fea9df854e2a096,60.034253999999997,60.025495999999997,60.026128999999997
0:5c8474b58b0020d76c848149ca58a4fa6196c9cc890812985033b28bdf52719c,60.115949999999998,60.024124999999998,60.027166999999999
0:e2b2a11183af0fae177c22950d8fe93a89db7afe7afda2a372e2b4c10119b837,60.003883999999999,60.013447999999997,60.013038000000002
0:379e792440c65a5a7650eb7f0b3cbfa1e93d94773361599b0c2434d78c44b3d8,60.009656,60.012956000000003,60.009174999999999
0:93cef61f2245f65ce23290d77fc32098e73a2a69e110f7519ca2f505763ea6a6,60.026820000000001,60.012030000000003,60.028388999999997
0:9772d1bb1f405b009668b0cafeeadf263e7fcdb535906a2c961bd3e1d7087355,60.040207000000002,60.014600999999999,60.008659000000002
0:d1cc48ffb759c6fe850589dac51436df5605c85810f15d7b2912f57901f82b9d,60.017001999999998,60.009590000000003,60.011795999999997
0:b61e6c4cfb3387568a080d5bb9602ea2a013ab1a8b957d54270cdb1a8fb154a7,60.018954999999998,60.014471,60.018326999999999
0:977b21fb2233fe2cb186437e65d17684fc1865740a091527db2542caf681ea9a,60.010601999999999,60.008771000000003,60.016981000000001
0:82c2912e30544d3f97416772a53f0b1cd4b83cceccd7ee262b98f639ca0faf29,60.006115000000001,60.026240999999999,60.036247000000003
0:2788575bc83fa1b04e1bcab9efc454f88df535dca69bb6352afb669a936c6c61,60.054876999999998,60.012217999999997,60.026696000000001
0:8e93b2a77dd55e097069d7256a0812618490acba5ffcdaa86c489b46aef76e33,60.166924999999999,60.014507000000002,60.041300999999997
0:3cb9860921ffd149cf23542f0a0f3dd28495a23e310f43113fbac364554ab171,60.007323999999997,60.009692999999999,60.037177
0:0c0d602cb102c90c69da01157225c6300c2da9d7dfd9127238df5bb9c250dfb0,60.024653000000001,60.009453999999998,60.020335000000003
0:28ea7765b40fa0f20cd7c75dd47d13d6a28466474da81ef3c13b30aeb9428e36,60.026947,60.011029999999998,60.016205999999997
0:cca38e176516126e4e83f477c35d609e608ff01b6958899c63806d1ff35554b2,60.016362000000001,60.008549000000002,60.028365999999998
0:ba5d09e3c333922d8abf5af5fdc68e04efed12f20c02127183250e2e2ca7143d,60.030932999999997,60.012213000000003,60.021259000000001
0:165b63c65251cdc23ee247ab5bcd73a55d02a14be03eca5fefe30340df110ea0,60.040506000000001,60.007783000000003,60.009951999999998
0:e45fb526bd1938f5785d15687b3009b4f5c8ab2a9e73386f0736161a2b040672,60.004829999999998,60.007938000000003,60.03237
0:9a9a030d62323557ee0831ee9bf70cc7420b7adda3b00be81d4c33771df4bf27,60.037325000000003,60.033386,60.004781000000001
0:39fb13245c779f7fa521e4582d3ff8daa34c83a37e7406c2beed4ae5ed57e044,60.005656000000002,60.019185,60.012748000000002
0:09f9ed3395c30ef9fd0ef30773f1f46f328ba4d48c538acd080db32933407706,60.004161000000003,60.018529000000001,60.012104999999998
0:ac9528273924dae1c51397212afdb1e1578f01ff2e2542acd8f813a132dd4587,60.006788999999998,60.008567999999997,60.009456999999998
0:8a10cdcc03307a5e0146018abbfd3ea6d32aca2cce6bf2cafda3cb33210dcd76,60.009349,60.027037999999997,60.045883000000003
0:2be49df95d7b0b4db88bd82d9447baf9c76422a8af2b80f0e3789a36ba2777cf,60.020986999999998,60.021802000000001,60.012123000000003
0:4ec4c1eb6b80635655365a3d77285d40f772403eaae03ce60b907cb9e83247fd,60.016435999999999,60.019174999999997,60.018382000000003
0:ec8e6a46bb298d8fa5a77ee1af99db5614108834b1a302f47d11872f413002d7,60.013661999999997,60.015194999999999,60.008015999999998
0:3eba89ff1853a346f96ba9ebaae70bade614c70b9066f46eab890b59c79a074f,60.012489000000002,60.008496999999998,60.007241
0:35b362b05564c9fd7b41726b8b487f0032e57ceb7896cf1b64f58712e989f9e9,60.024324999999997,60.044474000000001,60.028770999999999
0:14bdf8689b5908514afa83cdda8e0d640ea9f48f3ed8717b22f4cd2e25b187e7,60.038061999999996,60.029040999999999,60.019117000000001
0:d0757e7f05a3a71a545adac28460168b5469a2d45ca97afc1960f94793a88b71,60.024416000000002,60.024721999999997,60.017560000000003
0:74486cd18c7ee20088fe3749843dd3d5977a4d0305b824f8b42328d62c98f395,60.005315000000003,60.019609000000003,60.014487000000003
0:4008f001f4dd0d5979bbc13ccc77f8fa39f1c08fac9a44dced14be69661e705f,60.003909,60.008009999999999,60.037264999999998
0:b92b888de7efc2b615560580c7242f9be6e7ccb60311740e8ab11c503ff08e46,60.027113,60.012135000000001,60.021132999999999
0:1104e34368a81c98701409a33918cae0df7988ea0d3c2a9bc0af4d3325a37475,60.006520000000002,60.007331999999998,60.023224999999996
0:340a604b16f43ba874ea12c9b509580e1364f3ca82218e46232c5b01297287c8,60.014361000000001,60.020902999999997,60.017617000000001
0:53c7c1e2227eab1eb2e80d7418560abee8ccbe3cbb87b9f2017152c8799bb49b,60.008287000000003,60.020209000000001,60.014741000000001
0:5595952ef43d56ad327fdbfaf345e938c0430c8f700e650cc53247360d7b67b9,60.008369999999999,60.027821000000003,60.041573999999997
0:f42ad1464c8e927dd6e50287353e7acd482bf6b8f1edc326be82859d05236cfc,60.003512000000001,60.019503999999998,60.020302000000001
0:039687b10af538bdfcbb29fea311f83b094b537c789748ebf0b8a87497a26df8,60.014561,60.023397000000003,60.016964000000002
0:bcf7ac792b64849e68dc22ab553623b7350ea3d2149ac703afb41222fcd68d69,60.015925000000003,60.005648000000001,60.013309
0:badc65f113297aab601353f52ffa5f14e0ea33c876650bc4c0f89d1a494cd332,60.012250000000002,60.012425999999998,60.026282000000002
0:b47d2d727523d0538665ae98d88ca1faaf8bb902e3f3a832a1bbce70a6e1e945,60.104585,60.010880999999998,60.028530000000003
0:0eb8ddf0afdde58cbd04a331ee90609ac4719a526bb98aaaa4b68ac0efe2ba99,60.014035999999997,60.013928999999997,60.009667
0:e7d09ffe21e684d415ca18c2d135d74a54074bdfe9863f930e279da358afcb16,60.033078000000003,60.007426000000002,60.016044000000001
0:f68c0c44e69b5cfea08f93bbe08808f18e5a833430732a86c4703aa2d15e3085,60.018867,60.007047,60.014370999999997
0:f44be4f2646b44af306e0fb0341d9003bf16c32fd01c7a46f07028bc1e1a5641,60.008806,60.005858000000003,60.031179999999999
0:fc7b8f5e07e0db99c0d02f06691c3248a94a9df7265c985994624789a80be973,60.014015999999998,60.030876999999997,60.010303999999998
0:ee05b3628b4949c6b227a7b5f4762df7aa43d0b1fc11df15ad31d6eac3a83684,60.074874000000001,60.143166999999998,60.008907000000001
0:d6d99d0b06551eb04c47effebce6732bf459566d97a14c83cb7e13158a446b5c,60.169424999999997,60.051416000000003,60.009597999999997
0:f5d10527342eb67c7eb0581ce6a29eaf418f7966ca7cfaf9d1d9adc3bdfcabbe,60.036886000000003,60.099229000000001,60.029877999999997
0:98bc5b26a7efc765c73b50213f0388051e708b55fb56d66ee3034a88b23ad521,60.015289000000003,60.044525999999998,60.022323
0:381a2ba9437cf488d7fca718f39cdc8b8944fa739ed3da774df954172761e644,60.039124000000001,60.029027999999997,60.015571999999999
0:94e587fe6c184d7c917266b6477899be2a9b80be23b1eb203ed8d96efc6c22e6,60.096184000000001,60.007925,60.007119000000003
0:b4bbde41ac7e7f627560a8ac21af42c2f46a595decf610f6d1d533a6d53310b8,60.031494000000002,60.008453000000003,60.031914999999998
0:08db1b024f5ae578c8551732f44fa4489ed4ff948c0d2b90936eef59f2ceec87,60.093153000000001,60.033150999999997,60.008719999999997
0:0f800f9eae16bdcb036f276f3adfb09d7daa9cf5a10a2dd757c41289eb047a3c,60.022784000000001,60.043700000000001,60.013734999999997
0:0ca06218e82a5f7c0420a365d6e8df6a04ff35a243a6733975368543758b72b4,60.102994000000002,60.013081999999997,60.048003000000001
0:033c2a2b29299aaa307112641e42635affe3045651c41ed1b2bad29c3e1d7506,60.007928,60.121864000000002,60.018134000000003
0:5cc80c2bd60ee1db1732281473c2ee890ed64f96b66f914ba39173006e837ef8,60.078229,60.016109,60.019106000000001
0:ecea9a13bc8aee39fffb7e851fad182b9c3383654cb6b0f92470e1b4e1952ffe,60.005068999999999,40.743031999999999,60.02758
0:c0b618b2709823b42970c3d9b4a797ae4bda034ee4e6c64031a3d234a7a65ef5,60.023164000000001,25.829048,60.009295999999999
0:ba33f140e0fdc06dedcbead062d2fa51bd3862728f7cd0137aeada23e87e3b3b,60.005813000000003,23.906993,60.007857999999999
0:6357736384e5f6797b3ddfab1714d6cd2ee499ce14d5776705f2dc9fb307b056,60.005329000000003,24.454415000000001,60.013337
0:1c941972d15e3f3c0c6f6d173c6561f9a09cae6ea719a8af39aff4e79b7ca845,60.005442000000002,44.600479,60.014876999999998
0:c20fee8ad1558011aaca06b632aaf5448440e00949ed411b730c113919872025,60.019447,34.67821,60.033043999999997
0:d0e97cd63a87eb3dc901ee4d400642feb2b281eee85c50558123924283fc0391,60.024417,28.239659,60.029142
0:2d9e26026e5f47faef69220a0e01d83e8704688c0eef01a6eaa76d02c0ada7ae,60.020099999999999,60.020986999999998,60.027149999999999
0:6ee7c39c2c6a8969ceb2bbdd912ff811009a2389884d322df066ab93e99e9f60,60.019615000000002,16.674282999999999,60.016441999999998
0:3a93975d479d5258f4996a0dee4ed4558eccac36060385785a84f963c38c0edd,60.007964999999999,33.965896000000001,60.016742999999998
0:abbcdc39514bb3160ec8fba8b3ac3d1a8154ee63af58e5b5fb84bb14ff82c423,40.205962999999997,7.1604219999999996,60.026358999999999
0:7ab760e0dc0f3db7bc9643502cc83c5296fca1de829f278ca88fe00686b5f049,60.031861999999997,6.8848459999999996,60.040588999999997
0:8364333de57dc0bcb258af7c343aa2368e0de73083fb239341bd2085431978f8,60.023404999999997,7.6076430000000004,60.024268999999997
0:9551f09b5a64997f417043b3d4f9efd3c768b6f0e90987fe8f3e4db6fbfe58f9,44.265174999999999,6.6385740000000002,60.040075000000002
0:a34b87ac74d48b28a60215fbe4594d270091d5b0e9691369e1b0b10e4ed1f0f7,60.020968000000003,5.5057720000000003,60.026094999999998
0:8a5482c3d7c8caf631c12bbabb0db428f94851f426c843c3a03755ef079b825a,42.691752000000001,4.5061239999999998,60.021273000000001
0:1be7fac35e6cef86f463325cb0bd3e7a5bd4ed9c6e22012a679e63fd5e9340a2,60.003858999999999,5.1424060000000003,60.015172
0:325bcb72fd5d968ba30f270844dcf4c8eb359465a3417261b5d7cc8091683a04,41.415683999999999,3.4986440000000001,60.038286999999997
0:e55ac561ebfcc8cd5a69923ac38335fa6b893b4dc8ee69049b704dfa569b1ca6,60.028680999999999,2.6511010000000002,60.032704000000003
0:fbb7e3ba88ffb9832ba55af44b39f3fb5068ee98ce9f083c5e722bca2c3cfe59,60.023691999999997,9.7493090000000002,60.043416999999998
0:793c5b2f667a7700549976dd227b06f857934bae255acd785dcf48f51b20b729,60.026800999999999,60.032499999999999,60.094813000000002
0:f13c9dfd3c8eea7025c4fc98ede95cb2b83b01d25ee69cef225f1004332c49a9,60.020116999999999,60.029739999999997,60.034148000000002
0:6d14b7dc31f43e93fbb74cc9972a8b98d54891ac30adbfc87a98b2c4b1246169,60.027228000000001,60.008259000000002,60.034229000000003
0:13b238d65787a6d0e08590f1e51d5c45968ee932d5f38dc0e25592e36b92138f,60.038068000000003,60.027923999999999,60.036231000000001
0:068f24fdd9deef2fe546bb08368af5065654310157c5d23d215185cff2c54195,60.046441000000002,60.026231000000003,60.040970999999999
0:3d42d918178e1f6cb73a7114812f996c46a425a69cd469e677093bdc93b938ef,60.048079999999999,60.035420999999999,60.026330999999999
0:c4d87640861a404b7f0a44e55d6b285f800da8f5fb1fae7e19b92d61ae9797ae,60.062376999999998,60.030127999999998,60.050508000000001
0:bdcd31428f69dd1f11b4068b3784917c92e681fc607c29a03b5ee88d42ce845b,60.046909999999997,60.096747000000001,60.031464999999997
0:96469f5bea4e7b4ce81a387a68eeba7cc37437118df02910d576ef5734ce3aed,60.089154000000001,60.166448000000003,60.031005
0:8c8b3fa1dacfbd02f821b92f8925677692477d2070c00492de0c326009e49098,60.032573999999997,60.033630000000002,60.028950000000002
0:d7a0bc6df95205ca9cf1ad03b1b031ea04d26b0ea4debfba88941baa5159b9aa,60.028775000000003,60.024844000000002,60.043747000000003
0:9701cd9218e247276767840504f2ed20d958a7464f3463a901702911d692af28,60.026015000000001,60.138862000000003,60.032758999999999
0:563e31195873339b4c1203d12dace4eb77f44d47401295b9e9fb0b8656d4df01,60.024053000000002,60.026560000000003,60.030292000000003
0:b8a2d91bcba98fe45a19da82674e95a2da985ccdb7a07384a33b01f361ae2086,60.022115999999997,60.025196999999999,60.034072000000002
0:a00cf12f71c051087fa1c6f79b5b5ccb187ce7580d8b6d21d6b7c9f506175658,60.009481999999998,60.027087000000002,60.039642999999998
0:fa5b6ae0b06010fd3c0fe755583048689e33f820ddd7eb2238f0fe843601b0d6,60.023902,60.027197000000001,60.036485999999996
0:1fa8a92b7f85d6dd6780afd344b14b0160f9231ac193e4edf2d0bcc26871b0b6,60.024037,60.009149999999998,60.049221000000003
0:0167e11e8a1d8ef41082551efed3a3ba8b4399c80efd685bb50103a6601399a1,60.019886,60.027369,60.029946000000002
0:91eb4ce709d241f76e3f8992ce3b90f685425d872b9d0e3ef598b1ceda6bea01,60.018099999999997,60.027890999999997,60.035471000000001
0:425d49144142b89dd4ffb930f2938e51083a6ebde79ae71ed74c69f97e00d3b5,60.041964,60.024721999999997,60.038214000000004
0:89c54825088c43c109c8f0dac987a7475e27f5c889e2c7fcfed408ab593f02ba,60.021551000000002,60.043542000000002,60.029007
0:5b8a675f581686a666c1f0b1d3109a4d19394671b651122f41738fb79bf13203,60.026837999999998,60.026378999999999,60.047635999999997
0:76a4df7c7b89fd27209e38c95b97e309e275030279aa651e9cf83073854c0aa0,60.028472000000001,60.022590000000001,60.028537
0:58ec2418a053137375194cdaf0b509fcc03261bd42c52c7f6d838461a2fd3379,60.036636999999999,60.026560000000003,60.029781999999997
0:b4a68bef438d70852b978bd861f8fab0b53c7ecdd7075828d7bfa5027c531692,60.022717999999998,60.064521999999997,60.032907000000002
0:d0ea01213bcae4d0ccd89eb6412383fd46290a5237c1c5fe2208e5cee2619f0f,60.033988999999998,60.031177999999997,60.031821000000001
0:0e6aa1c2afa12236787810a86377bcb2b70cfe368d81453633faccd8e1d41706,60.026308999999998,60.033493999999997,60.032065000000003
0:96ed48bae00c3e9dc92f7fe3907a73f9a4086d78c730a3dbcf12001229c3cd8b,60.018999000000001,60.035204,60.070708000000003
0:dfa53ad35b4bd02ed62e769191d3513520034056a42c2595afc535486c70a62a,60.068249999999999,60.037058999999999,60.031261999999998
0:1d97a375787e82e6e1a1bc7059499c132a3d043c18737fc40afed2c47142d53d,60.025934999999997,60.031041000000002,60.026727999999999
0:9ebb039d797c3cbbe73bb130ea12acf4241f2c670d92167d65e1946451e93bfe,60.029896999999998,60.016565,60.041978999999998
