3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:c75296dd178dc3bd37b362161a1a2e7da0f450399de6312f2df5b5bb52299cf1,2,1,2
0:a874dc89e9911261fe2fb9d26cd18c43f8b8e48024c8e8ad1b3d6135e59ad1d8,2,2,2
0:e46b26c9509d204b70ae352629fd68ccdbce10c6e3572c1c9e986bf6b5f58732,2,-0.029655125688099915,2
0:56fa079c1c292b8d84735e1a170ff87ecbcfe56e60585468866a056617ebbd4b,2,-0.0012947532480325208,2
0:a726f4f317d0a6f848e0ea94104a615b2c06087b418077bbb873e267865d1b24,2,2,2
0:3bdcfcf08ea84799cde2744af4bed8bd5d6ca78ebb050472e62279fb4b62b957,2,-0.0063788859295677014,2
0:1e012c91f073f8c1b77304d45b558db8c9674761ac55cf38431e4c93336d8e10,2,-0.046555190765488419,2
0:2876bf98a686297aa68dcd99b5e0e37704463f3ca8b399719752774a88b7fd1c,2,2,2
0:c2fad7fc50c3206a5103a141ef89d9319826ac73cc59544fa70e7d3de7e20a79,2,-0.048793728469652464,2
0:9344cdd69014a97afa9b1118960e22a4bf791e2bfe5c78c814d139415c190e47,2,-0.033799500408136403,2
0:aa1b318d0bf8782041321cf84ae879cab54308cbc070e88b6bbf0bdfbeddb4e2,2,2,2
0:86549f911183b04a78bf533f829b451b228183cdb4f4e810cd2e394d35b93c18,2,-0.14906734454653758,2
0:0f30308f2a82a6afc2999a376c1af1fe44432e293bcad8b93e7d29e3735beb81,2,2,2
0:b60813912ff02e704a235ba532be068359859a6c0086ce0c754ce16e54df73cd,2,-0.35445077989886187,2
0:76f999904e489f908f5317f211ed9921729b86baf8862075a7094061f705bc54,2,2,2
0:d3db660a76ea70842c969f672cacd0e6fdc73f391bd14cd641e023f04f230b3a,2,2,2
0:eb8076ad6a1d72d8e58c9b795a9ebb18bbd956c992e8665479d09b8667bd9672,2,-0.12687144872301026,2
0:10c6c2bf8fd3046744cd62679c61021bbbe6033a1ac4cddab29325b5a62fcac0,2,2,2
0:db2efd2479df2cf7e6f53d44f386c9bbcc1ee4121360be3c96d63effd467f6de,2,-0.013465309799414626,2
0:88b3996067dd2728a40ca93383b06f60c6921d8e377be766914873d0516d17ff,2,2,2
0:1364695ed9fd4b80fcc37e625442c8746df16fe571e56d63fab37fb787e895d2,-0.149138978887942,-0.149138978887942,2
0:a00ff3221f6eaa42cac8c8fe778868d1a34743b67d8b50a170f5155bcf052c39,2,-0.24526617044618071,2
0:6245063ed8f5287f0a7d0302e5c41ab462dc2a1fb1da308487270d0bc238db25,-0.37776710310546235,-0.37776710310546235,2
0:f3a4d6d3ba9cf69a03d370086ccbe9d6b6e45b69413fe2b219d205a8bae99756,2,-0.14839402441885241,2
0:6be95af9a12c23549165d10449da9c3041788e7a419e8c5d14bcee5ad84df530,-0.051521878392097875,-0.051521878392094322,2
0:6ad03163d17cfd4da0af1a061ad30175bbb872de150dc69d1af5f665bf7f39ca,-0.22264313150899717,-0.22264313150872006,2
0:44f9ebb7563a170fec9292d9c2b3fdd402582dd833b4b334b15058e0455bb46e,1,1,2
0:eeb58e2cf8eaaf95d4386b9e75f5be762ee43ddce3effcaf1c70daa3e8a83672,2,-0.15913233284636699,2
0:89a4122982c688bbbe5d26295079c3affca5d978ea09f1cf062b818031336906,-0.18266361620011651,-0.18266361620011651,2
0:34666fdd3b300ea685974266f8a1bf6e97230b6a0ca37a3841cd747e15055888,-0.19622239759204518,-0.19622239759204874,2
0:7b46c2d297f0aabeead2956f970bb5e2d672b80927c00e619ae38c2f059e5da8,2,2,2
0:da1d2c6fce198d367991009023f9855cc5cb74ca43e3635db7c11b8268f35e6c,2,2,-0.070434782608629107
0:4f261d22aa9e22d89aa769e0bde45b26699fd01e409877b32b141238c849f66e,2,1,2
0:13735a09ba32d640fc85da3e76b29a9ac74ad6b1f271976bef6fe0aca3e28bd3,2,1,1
0:0096bfc1c3c3269cb3a9f0afbc751cd827a5f2275640a2e402df4458df8ae02a,2,-0.98734177215175123,-0.98734177215175123
0:2c23a679b167be27653e74b698cc2cac102b344c532f20ae05c1ba9c3889b6b4,2,2,-0.260869565217618
0:74208e88ac84503b6912662d8c36e0ca7816c06b50dd856e9fbe34e5ec7fd403,2,-0.26086956521731253,-0.26086956521726989
0:148cc14bf74e82e9bfde03b99c9e1e577102ea4f44e17058e040c609297b34eb,2,1,2
0:907764e77e43ad3ecb9cd21cc59c5d7a6ce7f3ef1e30750fee7950bd31b2b9b7,2,1,1
0:f3edeccafd31c286a26a8f09359d78544f2fa4ee92574de262aa8b4395be11f5,2,1,2
0:edb0b16ba5f04e799bad570764994fc299045cd40106c0ecc108b249f182ebc4,2,2,2
0:67a30f077315d188bd9d85a84edf3a86f8d0ce6dfcd421b1b9198d367d80a826,2,2,2
0:fa4225b051236dd94ef339e30731290b5da47f626272f0823d7c21c3c33ee312,2,2,2
0:46e48d6468d6c068c93756f438f8e3b7e87be55f6c3a244918497cb109af7178,2,2,2
0:51b7e11e5db2a18f1b259fb92956d5e9c07cc318dcfbc4d10bae560fd264d97f,2,2,2
0:9b6d7c0385f7e59554eee3afbd85397f90aac0038c950bb6f26206680c724176,2,2,2
0:c1a1de1a6dd3a995219aa3ad13e76682ff4b79f9ce5f2304f95b5dad3cba906a,2,2,2
0:216175c6dc8d4d46c29edbbf46ebd741fde030893fe287892f332fe2e52b47b5,2,2,2
0:af8156a725e60917e6d77306e2f5fc946fd9c0817e96a7a24535d9f6ddfe57c4,2,2,2
0:d17d518e7bbfc663ef37b0cf0c5acefa447cd6a6ee378e8be273de03adbb46ed,2,2,2
0:e8f109ae07b1032d86bde16d18f2af6a3618a5d3b41655dc59dfaa9ce0e88e6f,2,2,2
0:bfc0d6642a64b797abfe234b7fca4377ff87637f3aff0dff4d5f363019895ec7,2,2,2
0:8d56f785bbb03b13dab41f71cd6e82cf1c6e3592c6b8c67dd59e08258f6cb872,2,2,2
0:59f28697ec9249a8f2fb6f416e204c9585c61a98a6ed89fc9afb454ae438dd27,2,2,2
0:bf0bb9b7c6adef0ff10ef85c806f0a333f65831970cd7dbb683789acf6c38536,2,2,2
0:375ab7ac012ef3553ba1a582928363c582a33daa590975587284ccb54e4736bd,2,2,2
0:26b646749f6be01db4a94a5e90b87893a4d1eade47caf9425067ca89afdd6173,2,2,2
