3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:44ff4263d6c57d671e4c8f932abf059b04b207baa2573dace8ddab8f69c9175f,-4.7978424429661217,-1.8243907168513016,-11.37211958215865
0:bcbdd5d3c5541de70f03ad068b095216283c2793aefe0764f9160ea7f2d8e35f,-4.8411805798254717,-2.0228676827639833,-11.694961931719027
0:e4919ef935eeefe03396d1f505dfed1c59c64bb251a4f37704aacdacc1777586,-5.2117266654408336,-2.6349002841347233,-11.288995295103916
0:fdae88f65ed33dfb755a906f8f94c7e09a1dd27bef4a3cda1c5e4af4fd481526,-5.20610921793185,-2.0815029816592392,-11.0621594188377
0:47af83d5cce4861f9b95802211ecda8207bcbcfe2de7623e3168286d57bf8fac,-5.3819593776243737,-1.8352106256823808,-11.174407080807068
0:3ae041874514b0f50945f374cc0a2ccd0e0dafa38e215c2038e849834e87c6be,-5.08026645255433,-1.7506656517145849,-10.54027169095181
0:8e18b99590269d13fe84594d2b4c87be392fbc6092ef3c4fbcde483696c5f2bc,-5.2187949733477845,-2.811291926029432,-11.760065813004644
0:e7fc0c07e2defb4b8f6e7576b83825f46be1cdab08f00abe580ffa3ea93fd572,-5.3733477101241123,-1.4280726795716117,-10.893493099838642
0:7f80e6a5b504cf677b5cb5413e052a9e4c0e9983e7154d96be25cd69e691ba6d,-5.0502840412966314,-1.890234024901386,-10.955347287634236
0:575186777236305b114bc4b8f015908b1ff8e3ca1be7bfa78953f1089a601138,-5.433603255601346,-2.2670747920446028,-11.316884261218345
0:3babfb16b6ea43c7d162d3782a36d5671095c070c161ac3a7998bc139bb9fc71,-8.2014146822397755,-0.84834048225509495,-14.358436992308047
0:bdf57b62956274c17c98c897e0a6d79d2af5ea802bef621f4f9a93f01444a177,-8.85037024837583,-4.8033830372114732,-15.140904536860852
0:344355fb169a4f841cbbc7d4db1996a2619c701278123549986c0ad6cd51fcce,-7.8025358474560953,1,-16.012264011211943
0:7c25b2a856d1c51e3ac19ab460be6d58120fbddc01391b99f77f3d73edccf78d,-8.1216898540334554,-2.4256361526065762,-15.309697362698358
0:b3d88caeb36b90df0e229daca7c508c2bc797bad427d397fb013fb95b036dc8a,-7.9383087486834523,1,-15.189145574995669
0:08693c1c608fa8d1ba1f94a46d498c03cbe9ff0bfd0ac2f8637f9853520207de,-9.3404947912120608,-4.0661260916411397,-16.066541662855858
0:6ef512705364bf43653428ad17e9a96dbd87b010472433867ccd9a642ee1a0cc,-8.5051831677626595,-4.2507286373872528,-15.01201059626314
0:c36811587b5f696490539c14430211bce083270ec6e18b7af80de818ba9ffce6,-8.175550533099873,-0.52201293160375251,-15.676144565744963
0:61196c36aab483b4539b3706a180f85cb518927ffa8707bf8409baff1e8cdd20,-7.9959753537307945,-0.4606904392892055,-15.325411696399081
0:06c616db7fcdcce33934412eb99023e6b2c336606ea0d41d01a7664b62bfef45,-7.9984983300135584,-0.15813056345225718,-15.647255524908383
0:910bc8d9a8c335960d2994cc5f26dff2f13797523023fba959e6687c5493f241,-5.8202752239514055,-0.035126423677136032,-10.215786111259808
0:171b62d8f54384070d1b0f39c2eb6fb1641827911d0cf441451d4206791ffa21,-7.2313190073165821,1,-7.6159693355842046
0:373db381e392de0382ea51ba2692c6e9654753c5eb75e8e8d65d2138fe5d7d75,-6.6404562581841482,1,-9.318265319177927
0:6d7f7a64bc61b06728d8cbdf439b555c84a23caa58939c2297cdf146c5f94c43,-7.9780026028997284,1,-9.8840967177830663
0:e44db23d5b08c998f2b4ed7ef82fe5484a1a83586696105a3ade6a2958c5d58c,-6.0347107460199698,1,-9.2302011287669856
0:cfc40192852bfa6b3b9c3720d359f5e9e488b16b7e6c6a8b4baba01231ce6879,-6.0347107460200045,1,-9.9387742292363601
0:aebd3265b7ff2ee7fdd4c92821c6788b3cf5da865b5e9f5b9a0d7c62db9af204,-5.5856653857527601,-0.11715139983687273,-8.1453611806967903
0:d73c2810fd88da1474da0d44c296126882e4a879da9b4cfff47e45da153ebc57,1,1,1
0:6b5230a2d1f7b3ab68d59f70139abee9b3cba6c35b7d5c5393558197563eb4e1,-1.5436503644184825,-1.5436503644184825,-1.5436503644184825
0:dc5cee38c4c111a47aecaa74d266d58ee814521bf8f47a673fa720bcc4dbe6bf,1,1,1
0:456a49516965df487439bc968599021383430bbbdfca4d883b5bc1b2bda8ff62,-5.2739071454287973,1,1
0:7a15246e504c91f24b79a501016bbf369fdebbe3db6bcc7010d3e6f0c88df244,1,1,1
0:961f4990616b57dfd0d87e30ad14e40be3fc83617324b924b023bbec007477bc,-3.0238236525225917,-0.27504317789295385,-0.27504317789295385
0:28d14986c67a0a8396f0b9ead879a625ef887cea80df3f0a37786940fddaf75f,-5.6199849934098864,1,1
0:ee1af3a4828b948cd333de54b22f12fb1282779eabb83403f7d82307cc3b4be2,-0.87165517156761751,-0.87165517156761751,-0.87165517156763173
0:a20ad8791d6edbe204508925b845e628b13e7bf5aa180e0b4ee26d4f8c6431ab,-0.046511627907001703,-0.046511627907001703,-0.046511627907001703
0:28be97155b131574c21668573d6d1d28e8c8c6302b08809f22ce44ac1142af58,-4.9674861866401701,1,1
0:5afd072a4b3401dd99855101ba8cb4e3e767ba78cf95d37406b6bf2a6160ed93,-3.0522797710300149,-0.016832383058878801,-7.4891342617828798
0:f6427f6f94a1bcea8c90afd382f9d270a7ad7a8edc6ddd5c32dfcd390018440b,-2.7424122474154373,1,-7.1985081360609557
0:35fd2395c2ffcbb266a70ade543f99e46fcd92514d4eaae5adbd0ab01ccb9f05,-3.4132206527805677,-0.13255572566956175,-7.6036647626663445
0:6837df750c2a8446aa33d2785b6facffc2ede758952aeab35449a07d18147edb,-3.1861006530789742,1,-7.4492797567278402
0:22707b26d243c7f89a52664ed21cd433e3ea4b987266b5ae680f6850e4b4e290,-2.9669772989123402,-0.13255572566951734,-7.2748760646149133
0:20a2a17d7ea7933c62cb1470f365d412c93f556c5c6b7095f4ee747cbc8f3702,-3.2585466627528601,-1.0696354950820135,-7.4272337171808358
0:768235b5ee1ba29e305637c199aea74abbdf0c9e87c1fec05ec7c65f884414f3,-3.247884398591514,-0.12750751289889539,-7.2924015129913959
0:fc97055fd367db1f962143d0199616f2377d5a8eba65dff298b0ae2dbfe7a7fb,-3.3104121240819899,-0.14462624146566849,-7.5787905248065144
0:0b8da085df9bd1faa165003515fab7b53d7eb3d35af54029691a18bc7af7a1e4,-3.2614378117074025,-0.13255572566956531,-7.8425092970614054
0:d047d2c9e1058cb94c4c4b2ca1506b5fd7928525f4e2a031452aca45da5b2671,-3.0830096862065708,1,-7.5922526205848051
0:f3fb0f2db7af73fc8e60928fae702d2afa81774907110d991996236e4dbf257e,1,1,1
0:01a59ea2dde726e5a820e01abb3006cdb37189fc94196620a1bf58e8443fb433,1,1,1
0:ad314d4a265c6d68a4a98258db92cef35fcafb1bcbd675a9e1f28498b1e963d9,1,1,1
0:e4407619aeac8d14d5a7c140a0dfe8edd18343b038bcdf937a19584d901b49d5,-0.49999999999999312,-0.49999999999998779,-0.49999999999999312
0:ce102459d8a94db24cdda75d698062ac602b735d926eaed029ad6a3b5bd43562,1,1,1
0:513e78e6aee68471141d54e7d375d7a1a93229bae931f650813cf5693d5f11ca,-0.015232212170990467,-0.01523221217098869,-0.01523221217098869
