3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:112a253baf3c14c986a0ad187e71a29144b6b4952f2c173a4cbad388037a6095,2,-0.016702111347132842,2
0:75abe34f24cd796b5b2aae31fedd393cd2c06fd508980900f571ad8a2058ec90,2,-0.0061472330622009963,2
0:4a3fe2708489cfa846cf5e4e0fc6b2577408e2ce2566e9b2f1443d130bcdabbe,2,-0.00037184246331278814,2
0:f857743609e0cbbaa41ff1e46e67cc38c2e9dbafc2f9176e2be403994ad3e772,2,-0.0013175085528018826,2
0:0a02087f314f96278e2be3f8038bf8ae8d8ef10575c89d26b58ac78429d2972e,2,-6.7761423342638238e-05,2
0:5949c0a2e6019673c8bd64fe4b2a9fb3d6e37afaefd9ee3429b044895fccdc5f,2,1,2
0:53c4c3dfef0b26bb8bf7f67b154574f9b3cca013878d3132be370e34160b533e,2,-0.0043901410738769187,2
0:c239015a674581cac2ab20dbdec8785fdd761da7006a69ff6f6ee9aca0b112ff,2,-0.066125767477537067,2
0:fac223e00e8ed2d371d7151b01bdb82a9c9b30c2ec7ce873d765f536fab9a7f1,2,-0.0034468860536991386,2
0:062472a8358f7c33346f49b804d4707b602dd5de13f45b754afa1f57fec22f45,2,-0.0051957293769362423,2
0:aafc61cf368dcf4dda9ad376c1ff4cb43da1348b501625895a8c878c06b2adf5,2,1,2
0:e9671d14c0348e2aac48219c6e8c01242687c3b64299984e87812df9775f6ae5,2,2,2
0:d6a87e05d65887f65a4e0fc4ac09e935a0719ae392fe6abbb2e5936e3bf215f4,2,1,2
0:126dbce88e1d5d5dd2a2edd9f8411e9083e9a6823b8a851e664879a6d0c4827b,2,-0.0026152095642615336,2
0:9671b198264e96e7f5057d1f8cb834bec80f83124eef2e6d07b86e4f0c419da5,2,1,2
0:4eeaa9e0bd9710768938af0ca94a368e16c80367575e5e41521a9b4ebcba95f4,2,-0.035551504102060427,2
0:0680216f4d926614ca60383e836be7be85a00fcb54738366d61ebb07c33fe7c5,2,1,2
0:39fb12fd815d79cb5f5ff063028cc57ebdd698bdcd5e682d548dc2a7c0a0862e,2,-0.26298997265255863,2
0:59934ef54cd0aefbc8eabf455de2e834171bafe177036f9fc1c3e9b61661fd6c,2,2,2
0:f876e8a808b7e87b10bd20983c3d5ed49bb4eca3981cfefe1c47bdfd7706a26f,2,1,2
0:35f45b04c942cc91c2285233a37dec71e145f6897b025d6dfb38ee83fcda4f3f,2,-0.02742115360507924,2
0:2f48b8d71aa08bb6060a1e674d304753f18b3c3159be548e6339f70ba77479fc,2,-0.11497492349748839,2
0:577317707b2a53cdf9ca89c4f8f7a408a90ab2235f91185a8f90b74b25047098,2,-0.58180094786728997,2
0:0a56d523a0115d7ee3c5f40553f9a70549c603a0c578edd169cc662b30062548,2,-0.081258104329080538,2
0:24f003c78ad06294f1e936c7b775c2836acd975a0b73d818ea413f5993827161,2,-0.029136924956137733,2
0:526bd43fac13a193bbf1c9f51b9bf72e74f065f7d4f50f93a2668226c5b1e407,2,-0.077569008283795426,2
0:37f8c1df362d9092769d3f9dcabf8e48c0c61b39f893d59b15ac09526562283a,2,1,2
0:2ed7d08c751909f9fab8703edb98509cd1af03b82677b6db40af14dedaf520af,2,-0.52283334858599417,2
0:3f92984776b7e057a182cec857c46cf8ce509af0a5ff92e4685d69b4ac2f3c02,2,-0.8118862559240938,2
0:2fa9de7967cbe14e361430da837f8605a382bdbf404937366a6759de31b64c65,2,1,2
0:1cd328c205d4c74f50d9aa147b73b1d77e6798d4bd459245a145189ce9ae6baf,2,-0.0030314067971062286,-0.0030314067971062286
0:55c1e7941453b77afa5bd08eba878f15bada0e4ecf0e599257b97906112db310,2,1,1
0:fc77012f751b8bdd7d637db1d666b3f6b51144d889e460d82c8e4a9582c109b6,2,-0.35382348650401241,-0.35382348650401241
0:015ed4a392625a3a5c9b95a9335796e7d97a2bbae2667514fc757064ecba3245,2,1,1
0:dc99d70b5eb042f862f023d7fd284321d0f453339e61aa5b12842d7b3e734382,2,-0.39350388042534235,-0.39350388042534235
0:a2004eba6dcf3ea7fbb1fbbc914f26e01995ddc9548a4588472b869c4a0e831d,2,1,1
0:98ab1b7ce795675a610f7d613d0d5ce851f82d946dfa12fcd1b6ed9dc9c6301d,2,-0.4182422011045297,-0.41824220110452082
0:dbce5e19db1e80f7f3162c09354e4307289911192dfd3a43891c3b6bfe0e142b,2,1,1
0:601c1f585cb034ad909358409b771d5ae49cf873aad656c37ea088b32e87af4b,2,-0.92626196853395371,-0.92626196853395004
0:3c5b04c48402103107d3f8733ea93c6ab1d375e2dd990969a95c08db7073c2db,2,-0.010750022830812611,-0.010750022830805506
0:4c5d30e1beb4d1e2fac89bdf7dc5ca04e34c3b800bc9a504a558da6eab97b74d,2,-0.000597161725172768,2
0:412a5e722c154e119c241df063d2088d0539a3b1614fa57eed94547ccb948942,2,-0.02971757763102989,2
0:90788017ab2c9314c77f28c809f8ab910d96a2c5524d54bd27ebdad288a7b4fe,2,-0.0013398831563176117,2
0:12662a47bcace729e90ae38b1004f91d9373d149d1b413027f917a8c208b942b,2,-0.00026922362590475757,2
0:44048fe7b776f386f561c3648a2ef43b29aa755614170f0c88d5d2d635b3171c,2,1,2
0:ae7c7aab1631772bf73c258fafd417cde63191ff9ec8766d52bb0f3604a2646d,2,-0.12041590557819859,2
0:30a7a512a5f06f05982169a34debf2e80ebe5478f59f8658eb60bac1282ceac0,2,1,2
0:b8da269f6241fdc343a5d9f141876e50844a586c0969fa228ec7ca6585a43f4a,2,-0.0077265701840456558,2
0:d497e8236199434304804557446e1cfa7578303b7ab0a93821c5fc9c1e9e1b52,2,-0.052479977518819602,2
0:6fbb51b895d87c29b214cd960a05de5a458ea58f93409c06bf3c359a62c3c807,2,-0.058100323170005901,2
0:c880e819e397d48fbb5e4e265ddad907709083e4cff81bb28bb8a6eab685ddc2,1,1,1
0:44f01bc8474bfef4bb3a451e5f6c35244a01f120fbdd883bae9f292d7780495b,1,1,1
0:19a47b8191ad0f628cdcf683ba9d1a39f6c2dd9cad2ed44dff63c9505f155f6c,1,1,1
0:ec420e6642e9ab5944f38cfa0830dfb1f9ae2964c62e09a5525084a5e1cf4ec5,-0.3884440891688925,-0.38844408916889428,-0.3884440891688925
0:b8c0156d6d97ed920937cbc2822eba35fec3fe7e57de1cc0eb0a3b7cf3868563,2,-0.072079652222714063,-0.072079652222714063
0:d5e2ec818aad4a06a80a1ffa145daa7dab201c09e5f24e2f399ab7dab599d6ed,-0.035125554436827855,-0.035125554436828299,-0.035125554436827855
0:7a81670b0cb431927531669e35bbc9e51d0772705f3ff14bd53f0df6e2d9ae23,1,1,1
0:3885a0030c5cec1dd01441b7d13ff39ab42574efa6f1ab43306c3c182fa6ebee,-0.16103405618668809,-0.16103405618668587,-0.16103405618668587
0:da968d221ade759c2f036cd29d81f8bd6e9a5d3727edee4f4d8c32c76d4c881b,-0.10798978475020027,-0.10798978475020027,-0.10798978475020382
0:6a4521b1b34ee24abaaa703d0f36b283e21308ba8fbe3bbe717d4a17729d2f12,-0.4549023844910316,-0.4549023844910316,-0.4549023844910316
0:fd91bcf84fbd2ac2c766afca6307f90715aca7a7eb3cc72afbf42d289df31968,-0.40359820122793488,-0.40359820122794154,-0.40359820122794154
0:4234a8e9ff05c7741f0b9e96ddcc76088524f5e79a72802b1251a6d309ffe242,-0.018537480998489286,-0.018537480998480401,-0.018537480998478628
0:a7bdbfdd2d339a2dab2a50faf65ddb65eb07284f1aec374d512dc934393dae80,-27.904943900196713,-27.904943900196727,-27.904943900196713
0:5d16619a38eb815e3ab5d7e1869d91db821b895fe96d2c1d57b169a559264758,-25.04904825258474,-25.04904825258474,-25.04904825258474
0:d8c808c247f13c999191b4a08cc8e3152401930f80d464fe0fc2a53286fddb4c,-25.256966688636183,-25.256966688636183,-25.256966688636183
0:5c68825de907356340f403cbc239699ae87201bf12b99e682d1bde0ff58cf653,-33.737242003964198,-33.737242003964198,-33.737242003964198
0:bd44b82affce5154d59e1830b7b17a2efcb438491c210c588dcd4250d106e85c,-24.897943686198673,-24.897943686198673,-24.897943686198673
0:84d8545a783c47ef360b01430afb0c6e14d13f29525eb5fb14afa1e392992008,-28.488173710573488,-28.488173710573488,-28.488173710573498
0:ae5de674a6352d549f309983919e1cef8116947c7cfcbda549e1f8a821c90563,1,1,1
0:cf8264fbd12d5c1ce6785723717a4b1d6478405fc56ca968669b8d860102ed8c,-0.14527195273185001,-0.14527195273185001,-0.14527195273185001
0:7f73276323e58e5ddfe8a4fad0950a8be7b973d1f7bad6e7a1d1ae55e7c80ac6,1,1,1
0:cb64240771e4b6bdd44d230a28579e142c9035ed044b76dd7df7a9b75a938c13,1,1,1
0:31fec83530e616fba06ceb5f47e57c222a25c24f20f841de4df9bbc6fe338b9a,-0.12678196469828151,-0.12678196469828151,-0.12678196469828151
0:5d07c51ef4f6dc083966db61c20197908e4985778a4ae011143e1bedcd9fa10d,1,1,1
0:fcbe02dce35bf7717baae2b53fd4fda299a7a6b0286d3a0e3fc88d7c41d2edc0,1,1,1
0:5a579c8bed2072e38b412453544da165aa606392174bb4bc858af67d513d9746,1,1,1
0:e636bb858be7f340984b12e643e8658fd4da759637c4ddcaadcd876936e5dd74,1,1,1
0:ffe77eb2ac6591f4ca54bef97d208dc9cde5377a489ce8124eccd6cb2a10136c,-0.16581638388029418,-0.16581638388029418,-0.16581638388029418
0:491c0523bdf1c923086334d6bd5850deb7b794855073c584a5a01d6ec5182aed,2,1,1
0:919f19810470f3e33fb131156f572d2865b73bc851ca71e64dcc93faaf99d9e6,2,1,1
0:0833563215bcf27bbc1f3ee7d0fa4cbf8f9266b790b9e0639681a1e48921fbd3,2,-0.018205071664823436,-0.018205071664826988
0:72b42d54c30ba768e731994e46d1975c251c7d1519aad086a6ef219c1058c2f5,2,1,1
0:0daf133d10a92b4cff6d79222e1d09746ea7f751e38fe57c9c52e33315718f60,2,1,1
0:4a3a65f3e16bb87543486ae6b7f344f1ee49306885e1c1032561cf413afe355e,-0.11378169790513226,-0.11378169790513226,-0.11378169790513226
0:2a38db258d4b263a0bedafe344f28c4d59877be4af786811b5c2b07ce30c1d34,2,-0.022132796780828912,-0.022132796780828912
0:f5499a5e50cd31011a45332a9712ac7b2570b1839e06ffa22816e200c1dd3b13,2,-0.0037625754526864341,-0.0037625754526828814
0:e03c027ba9c6b111bbfa0b1ab0c11d6af7f630169f287153f45129c37a1e15ce,2,1,1
0:502f558ffb909a8e1221219e58bbf2e4e751be8191d4d023b6b0ed85ec54c2cd,2,-0.0046669190964401253,-0.0046669190964401253
0:f36fb419b71425318b32232a964956ee127a459aa2a78c0ba8c10db46e80eaa4,2,1,1
0:f439a4e5b9e94c9b26f7cb5472f73ca6c22868bd4236be36707a53b7617f2247,2,-0.0180478457236255,-0.018047845723629052
0:351d6c826682c6810f019c86c013632b0320beaf72344927affc4fb99f7633cc,2,1,2
0:b2211b97e23dc6e90db36df449eb3939bf53bb115c34144f57e5ed957d5c814c,2,-0.097701711491343005,-0.097701711491343005
0:57204ccc6427b2279328d591015e3e69f57c36696b6e2a0eaac68b3ee16ad28b,2,1,2
0:b271d529d0ca0b9ec813c3166a41a36713404ba93437eb74cc455881372f78b1,2,1,2
0:5a2091ada574cf2ee5d1fe4545211db11c0dc5fc48d77aa26472394d6b2b8507,2,1,2
0:e3004b09aed293052c58f0cfceb370af83b44cf0fb385479f620a5bc1698ea47,2,-0.0018224299064932836,-0.0018224299064897309
0:577a077758a804ff25568e50a5c7b07b4c37a3ec62b0de74b21c70cb2f2f64c8,2,-0.011775700934627764,-0.01177570093462954
0:eff50184209decfc1a153a3575a1f2449147a457b597478a80c7127aeb0f3b37,2,1,1
0:c23da4920f5677108aa24c450e9e4e7da8b75559d3ef1a75499ea14ee3edf251,2,-0.0070093457944082616,-0.0070093457944100379
0:b8d35162d685ab56ddc847210854e35618b7c8cc21d7877877f6e5729d2f679d,2,1,1
0:f67c45550d73be39e725f35c2f35bb57ef122d2992b8cc42a575e9867983c175,2,-0.0056545459974337575,-0.0056545459974337575
0:a83b6e3798f125b9c535581631cb0c38bb5e9a1d8ae2ebbdd61aa1ffa0b0bbcc,2,1,1
0:7a7a8600f5045a4f519de08286cc892c46e9f658d836bc62840e4d3ed9a0e825,-0.04024587898527443,-0.04024587898527443,-0.0402458789852762
0:aefd693b276e0fd82df33c6e411b07e4f212baf8d82f482424b2037a076d428e,2,-0.28644753726172745,-0.28644753726173455
0:8389c8b43e26e0a027440ba9ade6eaf6d7e5c7ad1afb94ebc5391dd8379e2cbb,2,-0.032710280373800416,-0.032710280373800416
0:1296a719fae17dc1bcf8029134b64eb73e0496d1f3010d8f0c506e0dfd534ad6,-0.034943813313422112,-0.034943813313420335,-0.034943813313422112
