2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:752f2c91eb67ca9e903e6a627d888395aed43834f0ea01867ae49c7f4032f620,-0.311549411702912,-0.96680958709871101
0:cbb740d08456d3be908a60d0dd495262a98cdd51164e39c21d6fd497cf45c14b,-0.58451040152664646,-1.2335564317451113
0:92e5e48edd300b9445358f512019161e092102306ef1794a0b8fc59869338a8c,-0.70706043252126527,-1.2813472471632279
0:0c6e0236e90e140e683ff7de20073feb102e0eefcb5bbe479f64c0448b2add19,-0.50914513893735247,-1.1642109626489536
0:22acbe23b49333539418fca8eeb651f303a3bbb80a3340e99e20b99aa72959aa,-0.36845038913278749,-0.98865152077587082
0:ab34cc6cf75acf248dab0b271df5685bb200dc5bca35eda655fd1126b4efd553,-0.50922313006655895,-1.2028545749848076
0:182769294d3628ad73abf3680225b9d443e2884f325729e42ee37545bbdccf7e,-0.67088458838174425,-1.3670482541217464
0:d43d1feb4ff8b179a20330f7f1be9b68492d4c216ac34c996ea88daf5244523b,-0.51289444410373264,-1.1840094089001849
0:46e6fd591cda837581fd3a9316e40135c61253638e0fe8eb7ea665be942a20e4,-0.68448786173047804,-1.3199890460714725
0:8be9de4d5b10b05bb2b6af1e3d9bb326655d9fff7a34ff64b4360e5a40751666,-0.71984646205393699,-1.3855728326287329
0:df1266fc010dd74e86e7a60e8a57c4ec2acfe7749e724b01c9b3bd71e5141f6c,-0.047562603269176051,-0.11631794648318827
0:687c6f42db15ddbeddd5c6f05d2efeacf0a912433d8d84ff43f8b982950f0ef5,-0.049046356303756866,-0.13601974267284156
0:6698491cfe5b7259812b7bc21941e6c47f63257873828a79a64c2010faf69143,-0.047981731664827443,-0.095314842546901701
0:c9d11bd16704344d411d957bbcbbe9d1599ceea0d65b6767bae646fd56f7c21e,-0.032338751361400853,-0.073113803523020771
0:14006ede1aa93b5a6e0151ad5b349bd1fd58f2b13c43e1fd39f7c0352a769832,-0.034530861440284603,-0.10300716702715462
0:23463621268fb8544d8efbcfeb31749c5e64e7014a5eae1bacf3d143f1b76034,-0.041256296552513838,-0.081954887277693622
0:ffeaad40c194cf947cb78e60d032b769a6ed2eed0b8db940b0a8bb5a1bb077f8,-0.033315326971472103,-0.11380840130193359
0:24b4b1716b8fed9b55fb0cae27f2fe7024402f8dc4a7dddbca9514a4e80471ed,-0.038940753626741653,-0.10389588017127327
0:37d5f1b573dbc9279215c51d40b1903e3b6722b397ff9a6bdbb0b6ceecf683d6,-0.055782936340579958,-0.20054938076540729
0:75bba7a8f112efcb7cbdf35dd15bb7570a737c8220b7e329395f0b2ac553229d,-0.04887121098708036,-0.12598870397902218
0:ae74502ff545dc61a69556c4aa2e329560271d7be6c7d7390a61e435599fc85f,-0.24454154610308265,-0.24454178397503767
0:2153690f6962bc05859161902b0b2f71e96689638d60115f01d4f1423ea135b9,-0.20523481769797947,-0.28905895571595686
0:4a00d49a9dbcf8956c52ece9e1407fc0d75903ff9de32fbcf1512ee573822fa0,-0.20714237671796454,-0.3301408076620227
0:06e16cc162a7bf4fa02cb0b2b8b24a751c32a0cdeaa043c8a76f7b0acf3acc71,-0.20163867935545632,-0.2287085266672424
0:b2fcb1bd79a139c4a2f86754405548d14eb27bd9cfaafdb7ed7a38fcfffcf93d,-0.24962888773294978,-0.26320104490141105
0:daf8a37eb28229b1b2693cf9c49fd94cf4c55e2a5f1abba14632a1551e11a697,-0.23451017290838294,-0.26416959739614931
0:a5882c5a98cca8eb0d747e6150081367ca66d8a3016416229129f784ea1e6f51,-0.096089207879440863,-0.096089392831451903
0:0d67eccf8a8a238a911628b86b6843aa8b625ee6ce65c8c5020001fdfa93b67f,-0.19875547143387706,-0.24242909063480411
0:65699f4217addca63ac7363cbd0a94c2b1e1824f606aae37a132318b2b160580,-0.20272821604216773,-0.29369016037822604
0:6841e7ecac7537c07f978abc92febdff53fe30b763c6926c80978ef135270c29,-0.10585404581157221,-0.14237103382765781
0:d258216f53d5fe81a03eb3ad381e585cebc5739c7721ae3b1d9934b5fc6b8852,-66.705669248593097,-66.937905340091618
0:5895e9aca8506f3f20c489046aabb42a8aa782efb14b45084516f22e602de931,-60.824067758458476,-60.824067758458455
0:86da4922747c2dc9a410c2a4ff2b78150021fd98feb72fdf06c45004a2f7f07c,-60.664715012202777,-60.771963414931193
0:d13cb162d8fa85a57f57cd7fcd05b00a678f01257fea80e753728cc74fd80861,-62.840615321223751,-63.098541667932629
0:21423f223bcad7aa7b64631285046db5b997e006eac06d3fe50ade3daf782545,-64.05012870628606,-64.129604102644308
0:f6fd309cfa586bc829ff1b180bfcab1bd72e739b2dbeaff178f81a9bd9205ca4,-58.112216382163737,-58.62945330855554
